Row Labels,Sum of Monthly Precipitation Total (millimetres)
2017,117
2018,1000.4
2019,789.4
2020,1528.2
2021,1290.2
2022,2530
2023,889.4
2024,1164.8
2025,1549.4
Grand Total,10858.8
Average,1206.533333
