Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,94029,1891,11,17.8,Y
IDCJAC0002,94029,1891,12,19,Y
IDCJAC0002,94029,1892,1,20.4,Y
IDCJAC0002,94029,1892,2,23,Y
IDCJAC0002,94029,1892,7,12.1,Y
IDCJAC0002,94029,1892,8,13.8,Y
IDCJAC0002,94029,1892,9,14.7,Y
IDCJAC0002,94029,1892,10,14.8,Y
IDCJAC0002,94029,1892,11,20.8,Y
IDCJAC0002,94029,1892,12,19.4,Y
IDCJAC0002,94029,1893,1,20.5,Y
IDCJAC0002,94029,1893,2,22.3,Y
IDCJAC0002,94029,1893,3,20.3,Y
IDCJAC0002,94029,1893,4,16.8,Y
IDCJAC0002,94029,1893,5,13.9,Y
IDCJAC0002,94029,1893,6,11.1,Y
IDCJAC0002,94029,1893,7,10.9,Y
IDCJAC0002,94029,1893,8,14.1,Y
IDCJAC0002,94029,1893,9,15.6,Y
IDCJAC0002,94029,1893,10,19.1,Y
IDCJAC0002,94029,1893,11,18.5,Y
IDCJAC0002,94029,1893,12,20.7,Y
IDCJAC0002,94029,1894,1,19.9,Y
IDCJAC0002,94029,1894,2,22.1,Y
IDCJAC0002,94029,1894,3,19.5,Y
IDCJAC0002,94029,1894,4,18.1,Y
IDCJAC0002,94029,1894,5,14.3,Y
IDCJAC0002,94029,1894,6,13.3,Y
IDCJAC0002,94029,1894,7,11,Y
IDCJAC0002,94029,1894,8,12.4,Y
IDCJAC0002,94029,1894,9,14.6,Y
IDCJAC0002,94029,1894,10,19,Y
IDCJAC0002,94029,1894,11,19.2,Y
IDCJAC0002,94029,1894,12,21.5,Y
IDCJAC0002,94029,1895,1,23,Y
IDCJAC0002,94029,1895,2,25.2,Y
IDCJAC0002,94029,1895,3,19.7,Y
IDCJAC0002,94029,1895,4,17.8,Y
IDCJAC0002,94029,1895,5,14.5,Y
IDCJAC0002,94029,1895,6,13.7,Y
IDCJAC0002,94029,1895,7,10.3,Y
IDCJAC0002,94029,1895,8,11.9,Y
IDCJAC0002,94029,1895,9,13.3,Y
IDCJAC0002,94029,1895,10,18.4,Y
IDCJAC0002,94029,1895,11,18.6,Y
IDCJAC0002,94029,1895,12,20.5,Y
IDCJAC0002,94029,1896,1,21,Y
IDCJAC0002,94029,1896,2,20.8,Y
IDCJAC0002,94029,1896,3,19,Y
IDCJAC0002,94029,1896,4,16.3,Y
IDCJAC0002,94029,1896,5,13.6,Y
IDCJAC0002,94029,1896,6,10.2,Y
IDCJAC0002,94029,1896,7,10.2,Y
IDCJAC0002,94029,1896,8,12.4,Y
IDCJAC0002,94029,1896,9,15.1,Y
IDCJAC0002,94029,1896,10,18,Y
IDCJAC0002,94029,1896,11,20,Y
IDCJAC0002,94029,1896,12,23.1,Y
IDCJAC0002,94029,1897,1,21.3,Y
IDCJAC0002,94029,1897,2,20.5,Y
IDCJAC0002,94029,1897,3,17.9,Y
IDCJAC0002,94029,1897,4,16.9,Y
IDCJAC0002,94029,1897,5,12.2,Y
IDCJAC0002,94029,1897,6,12.4,Y
IDCJAC0002,94029,1897,7,11.6,Y
IDCJAC0002,94029,1897,8,11.8,Y
IDCJAC0002,94029,1897,9,15.8,Y
IDCJAC0002,94029,1897,10,15.8,Y
IDCJAC0002,94029,1897,11,20.2,Y
IDCJAC0002,94029,1897,12,23.5,Y
IDCJAC0002,94029,1898,1,20.7,Y
IDCJAC0002,94029,1898,2,22.1,Y
IDCJAC0002,94029,1898,3,21,Y
IDCJAC0002,94029,1898,4,16.3,Y
IDCJAC0002,94029,1898,5,12,Y
IDCJAC0002,94029,1898,6,11,Y
IDCJAC0002,94029,1898,7,11.6,Y
IDCJAC0002,94029,1898,8,14.3,Y
IDCJAC0002,94029,1898,9,15.7,Y
IDCJAC0002,94029,1898,10,17.5,Y
IDCJAC0002,94029,1898,11,17.5,Y
IDCJAC0002,94029,1898,12,21.1,Y
IDCJAC0002,94029,1899,1,19.5,Y
IDCJAC0002,94029,1899,2,24.3,Y
IDCJAC0002,94029,1899,3,22,Y
IDCJAC0002,94029,1899,4,15.9,Y
IDCJAC0002,94029,1899,5,13.5,Y
IDCJAC0002,94029,1899,6,10.6,Y
IDCJAC0002,94029,1899,7,11.1,Y
IDCJAC0002,94029,1899,8,11.8,Y
IDCJAC0002,94029,1899,9,16.1,Y
IDCJAC0002,94029,1899,10,16.5,Y
IDCJAC0002,94029,1899,11,18.8,Y
IDCJAC0002,94029,1899,12,23.1,Y
IDCJAC0002,94029,1900,1,23.2,Y
IDCJAC0002,94029,1900,2,23.5,Y
IDCJAC0002,94029,1900,3,21.3,Y
IDCJAC0002,94029,1900,4,16.5,Y
IDCJAC0002,94029,1900,5,14.1,Y
IDCJAC0002,94029,1900,6,13.1,Y
IDCJAC0002,94029,1900,7,10.7,Y
IDCJAC0002,94029,1900,8,11.7,Y
IDCJAC0002,94029,1900,9,14.5,Y
IDCJAC0002,94029,1900,10,17,Y
IDCJAC0002,94029,1900,11,20.3,Y
IDCJAC0002,94029,1900,12,20.7,Y
IDCJAC0002,94029,1901,1,20.3,Y
IDCJAC0002,94029,1901,2,21.9,Y
IDCJAC0002,94029,1901,3,20.1,Y
IDCJAC0002,94029,1901,4,15.7,Y
IDCJAC0002,94029,1901,5,15,Y
IDCJAC0002,94029,1901,6,10.8,Y
IDCJAC0002,94029,1901,7,10.8,Y
IDCJAC0002,94029,1901,8,12.6,Y
IDCJAC0002,94029,1901,9,15,Y
IDCJAC0002,94029,1901,10,17.8,Y
IDCJAC0002,94029,1901,11,21.1,Y
IDCJAC0002,94029,1901,12,21.1,Y
IDCJAC0002,94029,1902,1,21.3,Y
IDCJAC0002,94029,1902,2,19.3,Y
IDCJAC0002,94029,1902,3,18.1,Y
IDCJAC0002,94029,1902,4,16.5,Y
IDCJAC0002,94029,1902,5,14.9,Y
IDCJAC0002,94029,1902,6,10.3,Y
IDCJAC0002,94029,1902,7,11.3,Y
IDCJAC0002,94029,1902,8,12.5,Y
IDCJAC0002,94029,1902,9,13.9,Y
IDCJAC0002,94029,1902,10,17.5,Y
IDCJAC0002,94029,1902,11,20.4,Y
IDCJAC0002,94029,1902,12,19.7,Y
IDCJAC0002,94029,1903,1,22.2,Y
IDCJAC0002,94029,1903,2,22.7,Y
IDCJAC0002,94029,1903,3,21.3,Y
IDCJAC0002,94029,1903,4,18.1,Y
IDCJAC0002,94029,1903,5,12.6,Y
IDCJAC0002,94029,1903,6,11,Y
IDCJAC0002,94029,1903,7,10.2,Y
IDCJAC0002,94029,1903,8,12.4,Y
IDCJAC0002,94029,1903,9,14.5,Y
IDCJAC0002,94029,1903,10,18.8,Y
IDCJAC0002,94029,1903,11,18.9,Y
IDCJAC0002,94029,1903,12,19,Y
IDCJAC0002,94029,1904,1,23.6,Y
IDCJAC0002,94029,1904,2,20.8,Y
IDCJAC0002,94029,1904,3,18.4,Y
IDCJAC0002,94029,1904,4,19.5,Y
IDCJAC0002,94029,1904,5,15.9,Y
IDCJAC0002,94029,1904,6,11.8,Y
IDCJAC0002,94029,1904,7,12.2,Y
IDCJAC0002,94029,1904,8,13,Y
IDCJAC0002,94029,1904,9,15,Y
IDCJAC0002,94029,1904,10,18,Y
IDCJAC0002,94029,1904,11,18.8,Y
IDCJAC0002,94029,1904,12,22.4,Y
IDCJAC0002,94029,1905,1,22.7,Y
IDCJAC0002,94029,1905,2,21.1,Y
IDCJAC0002,94029,1905,3,20.8,Y
IDCJAC0002,94029,1905,4,18.2,Y
IDCJAC0002,94029,1905,5,14.2,Y
IDCJAC0002,94029,1905,6,12.1,Y
IDCJAC0002,94029,1905,7,10.9,Y
IDCJAC0002,94029,1905,8,13.5,Y
IDCJAC0002,94029,1905,9,12,Y
IDCJAC0002,94029,1905,10,13.6,Y
IDCJAC0002,94029,1905,11,19.3,Y
IDCJAC0002,94029,1905,12,20.6,Y
IDCJAC0002,94029,1906,1,22.8,Y
IDCJAC0002,94029,1906,2,22.1,Y
IDCJAC0002,94029,1906,3,20.7,Y
IDCJAC0002,94029,1906,4,17,Y
IDCJAC0002,94029,1906,5,14.5,Y
IDCJAC0002,94029,1906,6,12.7,Y
IDCJAC0002,94029,1906,7,11.8,Y
IDCJAC0002,94029,1906,8,12.8,Y
IDCJAC0002,94029,1906,9,15.3,Y
IDCJAC0002,94029,1906,10,17.2,Y
IDCJAC0002,94029,1906,11,17.7,Y
IDCJAC0002,94029,1906,12,21.2,Y
IDCJAC0002,94029,1907,1,20.7,Y
IDCJAC0002,94029,1907,2,20.3,Y
IDCJAC0002,94029,1907,3,18.4,Y
IDCJAC0002,94029,1907,4,15.7,Y
IDCJAC0002,94029,1907,5,15.5,Y
IDCJAC0002,94029,1907,6,11.6,Y
IDCJAC0002,94029,1907,7,11.6,Y
IDCJAC0002,94029,1907,8,13.5,Y
IDCJAC0002,94029,1907,9,14.5,Y
IDCJAC0002,94029,1907,10,17.3,Y
IDCJAC0002,94029,1907,11,20.4,Y
IDCJAC0002,94029,1907,12,20.4,Y
IDCJAC0002,94029,1908,1,23.5,Y
IDCJAC0002,94029,1908,2,22.9,Y
IDCJAC0002,94029,1908,3,19.8,Y
IDCJAC0002,94029,1908,4,17.1,Y
IDCJAC0002,94029,1908,5,14.1,Y
IDCJAC0002,94029,1908,6,10.6,Y
IDCJAC0002,94029,1908,7,10.8,Y
IDCJAC0002,94029,1908,8,12.2,Y
IDCJAC0002,94029,1908,9,14,Y
IDCJAC0002,94029,1908,10,16.4,Y
IDCJAC0002,94029,1908,11,20.4,Y
IDCJAC0002,94029,1908,12,20.4,Y
IDCJAC0002,94029,1909,1,19.3,Y
IDCJAC0002,94029,1909,2,20.1,Y
IDCJAC0002,94029,1909,3,20.4,Y
IDCJAC0002,94029,1909,4,15.4,Y
IDCJAC0002,94029,1909,5,14.2,Y
IDCJAC0002,94029,1909,6,10.3,Y
IDCJAC0002,94029,1909,7,10.8,Y
