Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,40913,2010,12,27.8,Y
IDCJAC0002,40913,2011,1,29.6,Y
IDCJAC0002,40913,2011,2,30.6,Y
IDCJAC0002,40913,2011,3,28.7,Y
IDCJAC0002,40913,2011,4,26.2,Y
IDCJAC0002,40913,2011,5,23.4,Y
IDCJAC0002,40913,2011,6,20.9,Y
IDCJAC0002,40913,2011,7,21.5,Y
IDCJAC0002,40913,2011,8,22.6,Y
IDCJAC0002,40913,2011,9,24.9,Y
IDCJAC0002,40913,2011,10,25.6,Y
IDCJAC0002,40913,2011,11,28.8,Y
IDCJAC0002,40913,2011,12,27.6,Y
IDCJAC0002,40913,2012,1,28.7,Y
IDCJAC0002,40913,2012,2,29.8,Y
IDCJAC0002,40913,2012,3,28.2,Y
IDCJAC0002,40913,2012,4,26.5,Y
IDCJAC0002,40913,2012,5,24,Y
IDCJAC0002,40913,2012,6,21.1,Y
IDCJAC0002,40913,2012,7,21.4,Y
IDCJAC0002,40913,2012,8,23.3,Y
IDCJAC0002,40913,2012,9,25.5,Y
IDCJAC0002,40913,2012,10,27.3,Y
IDCJAC0002,40913,2012,11,28.2,Y
IDCJAC0002,40913,2012,12,30.5,Y
IDCJAC0002,40913,2013,1,30.5,Y
IDCJAC0002,40913,2013,2,28.5,Y
IDCJAC0002,40913,2013,3,28.4,Y
IDCJAC0002,40913,2013,4,26.7,Y
IDCJAC0002,40913,2013,5,23.3,Y
IDCJAC0002,40913,2013,6,21,Y
IDCJAC0002,40913,2013,7,21.8,Y
IDCJAC0002,40913,2013,8,24.8,Y
IDCJAC0002,40913,2013,9,27.2,Y
IDCJAC0002,40913,2013,10,28.8,Y
IDCJAC0002,40913,2013,11,28.5,Y
IDCJAC0002,40913,2013,12,29.7,Y
IDCJAC0002,40913,2014,1,30.7,Y
IDCJAC0002,40913,2014,2,30.2,Y
IDCJAC0002,40913,2014,3,29.2,Y
IDCJAC0002,40913,2014,4,28.2,Y
IDCJAC0002,40913,2014,5,25.1,Y
IDCJAC0002,40913,2014,6,23.3,Y
IDCJAC0002,40913,2014,7,22.4,Y
IDCJAC0002,40913,2014,8,22.7,Y
IDCJAC0002,40913,2014,9,25.2,Y
IDCJAC0002,40913,2014,10,27.8,Y
IDCJAC0002,40913,2014,11,29.6,Y
IDCJAC0002,40913,2014,12,29.9,Y
IDCJAC0002,40913,2015,1,30.5,Y
IDCJAC0002,40913,2015,2,29.3,Y
IDCJAC0002,40913,2015,3,30.2,Y
IDCJAC0002,40913,2015,4,26.1,Y
IDCJAC0002,40913,2015,5,24.5,Y
IDCJAC0002,40913,2015,6,21.6,Y
IDCJAC0002,40913,2015,7,21.1,Y
IDCJAC0002,40913,2015,8,23.7,Y
IDCJAC0002,40913,2015,9,24.7,Y
IDCJAC0002,40913,2015,10,27.1,Y
IDCJAC0002,40913,2015,11,29.2,Y
IDCJAC0002,40913,2015,12,29.2,Y
IDCJAC0002,40913,2016,1,30.4,Y
IDCJAC0002,40913,2016,2,32,Y
IDCJAC0002,40913,2016,3,29.9,Y
IDCJAC0002,40913,2016,4,28.8,Y
IDCJAC0002,40913,2016,5,27,Y
IDCJAC0002,40913,2016,6,21.5,Y
IDCJAC0002,40913,2016,7,22.5,Y
IDCJAC0002,40913,2016,8,23,Y
IDCJAC0002,40913,2016,9,24.9,Y
IDCJAC0002,40913,2016,10,27.1,Y
IDCJAC0002,40913,2016,11,30.2,Y
IDCJAC0002,40913,2016,12,30.1,Y
IDCJAC0002,40913,2017,1,31.4,Y
IDCJAC0002,40913,2017,2,32.5,Y
IDCJAC0002,40913,2017,3,30.6,Y
IDCJAC0002,40913,2017,4,26.2,Y
IDCJAC0002,40913,2017,5,24.7,Y
IDCJAC0002,40913,2017,6,22.8,Y
IDCJAC0002,40913,2017,7,22.9,Y
IDCJAC0002,40913,2017,8,24.7,Y
IDCJAC0002,40913,2017,9,27.3,Y
IDCJAC0002,40913,2017,10,27,Y
IDCJAC0002,40913,2017,11,27,Y
IDCJAC0002,40913,2017,12,30.7,Y
IDCJAC0002,40913,2018,1,31.8,Y
IDCJAC0002,40913,2018,2,29.7,Y
IDCJAC0002,40913,2018,3,28.7,Y
IDCJAC0002,40913,2018,4,27.8,Y
