Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,66214,2024,4,10,11.9,1,Y
IDCJAC0011,66214,2024,9,11,11.9,1,Y
IDCJAC0011,66214,2024,4,27,12,1,Y
IDCJAC0011,66214,2024,8,18,12,1,Y
IDCJAC0011,66214,2024,10,13,12,1,Y
IDCJAC0011,66214,2024,4,11,12.1,1,Y
IDCJAC0011,66214,2024,7,26,12.1,1,Y
IDCJAC0011,66214,2024,8,19,12.1,1,Y
IDCJAC0011,66214,2024,10,25,12.1,1,Y
IDCJAC0011,66214,2024,4,19,12.2,1,Y
IDCJAC0011,66214,2024,7,5,12.2,1,Y
IDCJAC0011,66214,2024,10,10,12.2,1,Y
IDCJAC0011,66214,2024,9,28,12.3,1,Y
IDCJAC0011,66214,2024,5,16,12.4,1,Y
IDCJAC0011,66214,2024,4,25,12.5,1,Y
IDCJAC0011,66214,2024,10,26,12.5,1,Y
IDCJAC0011,66214,2024,8,13,12.6,1,Y
IDCJAC0011,66214,2024,5,18,12.7,1,Y
IDCJAC0011,66214,2024,7,8,12.7,1,Y
IDCJAC0011,66214,2024,9,22,12.7,1,Y
IDCJAC0011,66214,2024,10,16,12.7,1,Y
IDCJAC0011,66214,2024,5,14,12.8,1,Y
IDCJAC0011,66214,2024,9,9,12.8,1,Y
IDCJAC0011,66214,2024,9,10,12.8,1,Y
IDCJAC0011,66214,2024,5,1,12.9,1,Y
IDCJAC0011,66214,2024,5,2,12.9,1,Y
IDCJAC0011,66214,2024,6,7,12.9,1,Y
IDCJAC0011,66214,2024,9,21,12.9,1,Y
IDCJAC0011,66214,2024,10,22,12.9,1,Y
IDCJAC0011,66214,2024,4,12,13,1,Y
IDCJAC0011,66214,2024,5,15,13,1,Y
IDCJAC0011,66214,2024,5,17,13.1,1,Y
IDCJAC0011,66214,2024,7,9,13.1,1,Y
IDCJAC0011,66214,2024,9,29,13.1,1,Y
IDCJAC0011,66214,2024,10,3,13.1,1,Y
IDCJAC0011,66214,2024,4,22,13.2,1,Y
IDCJAC0011,66214,2024,9,23,13.2,1,Y
IDCJAC0011,66214,2024,8,17,13.4,1,Y
IDCJAC0011,66214,2024,4,28,13.5,1,Y
IDCJAC0011,66214,2024,8,16,13.5,1,Y
IDCJAC0011,66214,2024,10,14,13.5,1,Y
IDCJAC0011,66214,2024,3,21,13.6,1,Y
IDCJAC0011,66214,2024,5,3,13.6,1,Y
IDCJAC0011,66214,2024,5,8,13.6,1,Y
IDCJAC0011,66214,2024,5,4,13.7,1,Y
IDCJAC0011,66214,2024,5,7,13.8,1,Y
IDCJAC0011,66214,2024,6,1,13.8,1,Y
IDCJAC0011,66214,2024,8,21,13.8,1,Y
IDCJAC0011,66214,2024,4,23,14,1,Y
IDCJAC0011,66214,2024,5,31,14.2,1,Y
IDCJAC0011,66214,2024,9,20,14.2,1,Y
IDCJAC0011,66214,2024,10,23,14.2,1,Y
IDCJAC0011,66214,2024,5,12,14.3,1,Y
IDCJAC0011,66214,2024,8,29,14.3,1,Y
IDCJAC0011,66214,2024,10,9,14.3,1,Y
IDCJAC0011,66214,2024,4,13,14.4,1,Y
IDCJAC0011,66214,2024,4,29,14.4,1,Y
IDCJAC0011,66214,2024,4,21,14.5,1,Y
IDCJAC0011,66214,2024,5,13,14.5,1,Y
IDCJAC0011,66214,2024,5,9,14.6,1,Y
IDCJAC0011,66214,2024,10,15,14.6,1,Y
IDCJAC0011,66214,2024,5,5,14.7,1,Y
IDCJAC0011,66214,2024,10,8,14.7,1,Y
IDCJAC0011,66214,2024,4,16,14.8,1,Y
IDCJAC0011,66214,2024,3,22,14.9,1,Y
IDCJAC0011,66214,2024,5,10,14.9,1,Y
IDCJAC0011,66214,2024,8,15,14.9,1,Y
IDCJAC0011,66214,2024,10,11,14.9,1,Y
IDCJAC0011,66214,2024,8,24,15,1,Y
IDCJAC0011,66214,2024,9,1,15,1,Y
IDCJAC0011,66214,2024,10,18,15,1,Y
IDCJAC0011,66214,2024,8,22,15.1,1,Y
IDCJAC0011,66214,2024,9,19,15.1,1,Y
IDCJAC0011,66214,2024,10,28,15.1,1,Y
IDCJAC0011,66214,2024,5,6,15.2,1,Y
IDCJAC0011,66214,2024,9,24,15.2,1,Y
IDCJAC0011,66214,2024,9,30,15.2,1,Y
IDCJAC0011,66214,2024,8,30,15.3,1,Y
IDCJAC0011,66214,2024,10,7,15.3,1,Y
IDCJAC0011,66214,2024,4,20,15.5,1,Y
IDCJAC0011,66214,2024,5,11,15.6,1,Y
IDCJAC0011,66214,2024,10,2,15.6,1,Y
IDCJAC0011,66214,2024,10,12,15.6,1,Y
IDCJAC0011,66214,2024,10,21,15.6,1,Y
IDCJAC0011,66214,2024,4,14,15.8,1,Y
IDCJAC0011,66214,2024,8,14,15.8,1,Y
IDCJAC0011,66214,2024,2,25,15.9,1,Y
IDCJAC0011,66214,2024,9,12,15.9,1,Y
IDCJAC0011,66214,2024,8,26,16,1,Y
IDCJAC0011,66214,2024,8,28,16,1,Y
IDCJAC0011,66214,2024,11,1,16,1,Y
IDCJAC0011,66214,2024,11,8,16,1,Y
IDCJAC0011,66214,2024,10,31,16.2,1,Y
IDCJAC0011,66214,2024,12,24,16.2,1,Y
IDCJAC0011,66214,2024,3,5,16.3,1,Y
IDCJAC0011,66214,2024,3,23,16.3,1,Y
IDCJAC0011,66214,2024,3,30,16.3,1,Y
IDCJAC0011,66214,2024,4,17,16.3,1,Y
IDCJAC0011,66214,2024,9,8,16.3,1,Y
IDCJAC0011,66214,2024,4,3,16.4,1,Y
IDCJAC0011,66214,2024,4,8,16.4,1,Y
IDCJAC0011,66214,2024,4,15,16.4,1,Y
IDCJAC0011,66214,2024,11,2,16.4,1,Y
IDCJAC0011,66214,2024,11,20,16.4,1,Y
IDCJAC0011,66214,2024,4,9,16.5,1,Y
IDCJAC0011,66214,2024,9,2,16.5,1,Y
IDCJAC0011,66214,2024,11,3,16.5,1,Y
IDCJAC0011,66214,2024,2,9,16.6,1,Y
IDCJAC0011,66214,2024,10,29,16.6,1,Y
IDCJAC0011,66214,2024,3,16,16.7,1,Y
IDCJAC0011,66214,2024,4,18,16.7,1,Y
IDCJAC0011,66214,2024,12,25,16.7,1,Y
IDCJAC0011,66214,2024,8,25,16.9,1,Y
IDCJAC0011,66214,2024,9,6,16.9,1,Y
IDCJAC0011,66214,2024,12,21,16.9,1,Y
IDCJAC0011,66214,2024,10,5,17,1,Y
IDCJAC0011,66214,2024,3,25,17.1,1,Y
IDCJAC0011,66214,2024,3,31,17.1,1,Y
IDCJAC0011,66214,2024,10,19,17.1,1,Y
IDCJAC0011,66214,2024,12,20,17.1,1,Y
IDCJAC0011,66214,2024,4,30,17.2,1,Y
IDCJAC0011,66214,2024,10,30,17.2,1,Y
IDCJAC0011,66214,2024,11,19,17.2,1,Y
IDCJAC0011,66214,2024,10,6,17.3,1,Y
