Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,40913,2024,3,6,29.4,1,Y
IDCJAC0010,40913,2024,10,31,29.4,1,Y
IDCJAC0010,40913,2024,12,1,29.4,1,Y
IDCJAC0010,40913,2024,1,8,29.3,1,N
IDCJAC0010,40913,2024,1,15,29.2,1,N
IDCJAC0010,40913,2024,9,21,29.2,1,Y
IDCJAC0010,40913,2024,10,29,29.2,1,Y
IDCJAC0010,40913,2024,11,15,29.2,1,N
IDCJAC0010,40913,2024,12,16,29.2,1,Y
IDCJAC0010,40913,2024,2,15,29.1,1,Y
IDCJAC0010,40913,2024,2,19,29.1,1,Y
IDCJAC0010,40913,2024,4,9,29.1,1,Y
IDCJAC0010,40913,2024,3,18,29,1,Y
IDCJAC0010,40913,2024,9,19,29,1,Y
IDCJAC0010,40913,2024,11,29,29,1,N
IDCJAC0010,40913,2024,12,25,29,1,Y
IDCJAC0010,40913,2024,2,13,28.8,1,Y
IDCJAC0010,40913,2024,3,19,28.8,1,Y
IDCJAC0010,40913,2024,3,29,28.8,1,Y
IDCJAC0010,40913,2024,4,16,28.8,1,Y
IDCJAC0010,40913,2024,11,18,28.8,1,N
IDCJAC0010,40913,2024,12,14,28.8,1,Y
IDCJAC0010,40913,2024,1,7,28.7,1,N
IDCJAC0010,40913,2024,10,5,28.7,1,Y
IDCJAC0010,40913,2024,3,28,28.6,1,Y
IDCJAC0010,40913,2024,4,2,28.6,1,Y
IDCJAC0010,40913,2024,4,4,28.6,1,Y
IDCJAC0010,40913,2024,4,25,28.6,1,Y
IDCJAC0010,40913,2024,9,30,28.6,1,Y
IDCJAC0010,40913,2024,3,10,28.5,1,Y
IDCJAC0010,40913,2024,3,16,28.5,1,Y
IDCJAC0010,40913,2024,12,20,28.5,1,Y
IDCJAC0010,40913,2024,3,11,28.4,1,Y
IDCJAC0010,40913,2024,9,9,28.4,1,Y
IDCJAC0010,40913,2024,11,17,28.4,1,N
IDCJAC0010,40913,2024,3,17,28.3,1,Y
IDCJAC0010,40913,2024,4,15,28.3,1,Y
IDCJAC0010,40913,2024,4,19,28.3,1,Y
IDCJAC0010,40913,2024,8,26,28.3,1,Y
IDCJAC0010,40913,2024,10,23,28.3,1,Y
IDCJAC0010,40913,2024,11,3,28.3,1,N
IDCJAC0010,40913,2024,3,30,28.2,1,Y
IDCJAC0010,40913,2024,10,21,28.2,1,Y
IDCJAC0010,40913,2024,1,16,28.1,1,N
IDCJAC0010,40913,2024,1,23,28.1,1,N
IDCJAC0010,40913,2024,3,5,28.1,1,Y
IDCJAC0010,40913,2024,4,14,28.1,1,Y
IDCJAC0010,40913,2024,9,23,28.1,1,Y
IDCJAC0010,40913,2024,11,26,28.1,1,N
IDCJAC0010,40913,2024,4,12,28,1,Y
IDCJAC0010,40913,2024,2,9,27.9,1,Y
IDCJAC0010,40913,2024,10,22,27.9,1,Y
IDCJAC0010,40913,2024,4,11,27.7,1,Y
IDCJAC0010,40913,2024,4,24,27.7,1,Y
IDCJAC0010,40913,2024,6,30,27.7,1,N
IDCJAC0010,40913,2024,8,27,27.7,1,Y
IDCJAC0010,40913,2024,12,19,27.7,1,Y
IDCJAC0010,40913,2024,1,2,27.6,1,N
IDCJAC0010,40913,2024,8,16,27.6,1,Y
IDCJAC0010,40913,2024,10,18,27.6,1,Y
IDCJAC0010,40913,2024,9,29,27.5,1,Y
IDCJAC0010,40913,2024,11,2,27.5,1,N
IDCJAC0010,40913,2024,11,25,27.5,1,N
IDCJAC0010,40913,2024,2,16,27.4,1,Y
IDCJAC0010,40913,2024,10,17,27.4,1,Y
IDCJAC0010,40913,2024,12,11,27.4,1,Y
IDCJAC0010,40913,2024,1,6,27.3,1,N
IDCJAC0010,40913,2024,2,10,27.3,1,Y
IDCJAC0010,40913,2024,3,31,27.3,1,Y
IDCJAC0010,40913,2024,4,13,27.3,1,Y
