Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,94029,2024,4,5,7.9,1,Y
IDCJAC0011,94029,2024,6,29,7.9,1,N
IDCJAC0011,94029,2024,7,26,7.9,1,Y
IDCJAC0011,94029,2024,9,7,7.9,1,N
IDCJAC0011,94029,2024,10,12,7.9,1,N
IDCJAC0011,94029,2024,11,14,7.9,1,N
IDCJAC0011,94029,2024,3,5,8,1,N
IDCJAC0011,94029,2024,7,12,8,1,Y
IDCJAC0011,94029,2024,7,22,8,1,Y
IDCJAC0011,94029,2024,5,6,8.1,1,Y
IDCJAC0011,94029,2024,6,3,8.1,1,N
IDCJAC0011,94029,2024,8,9,8.1,1,Y
IDCJAC0011,94029,2024,8,15,8.1,1,Y
IDCJAC0011,94029,2024,10,10,8.1,1,N
IDCJAC0011,94029,2024,5,4,8.2,1,Y
IDCJAC0011,94029,2024,6,16,8.2,1,N
IDCJAC0011,94029,2024,4,21,8.3,1,Y
IDCJAC0011,94029,2024,4,28,8.3,1,Y
IDCJAC0011,94029,2024,6,17,8.3,1,N
IDCJAC0011,94029,2024,12,22,8.3,1,Y
IDCJAC0011,94029,2024,10,24,8.4,1,N
IDCJAC0011,94029,2024,11,5,8.4,1,N
IDCJAC0011,94029,2024,5,12,8.5,1,Y
IDCJAC0011,94029,2024,9,17,8.5,1,N
IDCJAC0011,94029,2024,10,16,8.5,1,N
IDCJAC0011,94029,2024,3,21,8.6,1,N
IDCJAC0011,94029,2024,4,24,8.6,1,Y
IDCJAC0011,94029,2024,4,30,8.6,1,Y
IDCJAC0011,94029,2024,6,7,8.6,1,N
IDCJAC0011,94029,2024,8,8,8.6,1,Y
IDCJAC0011,94029,2024,5,8,8.7,1,Y
IDCJAC0011,94029,2024,6,4,8.7,1,N
IDCJAC0011,94029,2024,7,10,8.7,1,Y
IDCJAC0011,94029,2024,9,8,8.7,1,N
IDCJAC0011,94029,2024,11,19,8.7,1,N
IDCJAC0011,94029,2024,4,11,8.8,1,Y
IDCJAC0011,94029,2024,4,12,8.8,1,Y
IDCJAC0011,94029,2024,7,27,8.8,1,Y
IDCJAC0011,94029,2024,8,30,8.8,1,Y
IDCJAC0011,94029,2024,3,4,8.9,1,N
IDCJAC0011,94029,2024,5,14,8.9,1,Y
IDCJAC0011,94029,2024,7,24,8.9,1,Y
IDCJAC0011,94029,2024,8,23,8.9,1,Y
IDCJAC0011,94029,2024,4,26,9,1,Y
IDCJAC0011,94029,2024,6,5,9,1,N
IDCJAC0011,94029,2024,8,6,9,1,Y
IDCJAC0011,94029,2024,8,13,9,1,Y
IDCJAC0011,94029,2024,9,4,9,1,N
IDCJAC0011,94029,2024,9,13,9,1,N
IDCJAC0011,94029,2024,4,22,9.1,1,Y
IDCJAC0011,94029,2024,8,24,9.1,1,Y
IDCJAC0011,94029,2024,11,9,9.1,1,N
IDCJAC0011,94029,2024,3,22,9.2,1,N
IDCJAC0011,94029,2024,5,17,9.2,1,Y
IDCJAC0011,94029,2024,9,22,9.2,1,N
IDCJAC0011,94029,2024,11,21,9.2,1,N
IDCJAC0011,94029,2024,1,30,9.3,1,N
IDCJAC0011,94029,2024,2,3,9.4,1,N
IDCJAC0011,94029,2024,8,7,9.4,1,Y
IDCJAC0011,94029,2024,10,27,9.4,1,N
IDCJAC0011,94029,2024,10,30,9.4,1,N
IDCJAC0011,94029,2024,11,8,9.4,1,N
IDCJAC0011,94029,2024,4,10,9.5,1,Y
IDCJAC0011,94029,2024,4,29,9.5,1,Y
IDCJAC0011,94029,2024,8,22,9.5,1,Y
IDCJAC0011,94029,2024,3,27,9.6,1,N
IDCJAC0011,94029,2024,10,11,9.6,1,N
IDCJAC0011,94029,2024,10,20,9.6,1,N
IDCJAC0011,94029,2024,11,10,9.6,1,N
IDCJAC0011,94029,2024,4,25,9.7,1,Y
IDCJAC0011,94029,2024,5,13,9.7,1,Y
IDCJAC0011,94029,2024,10,4,9.8,1,N
IDCJAC0011,94029,2024,12,4,9.8,1,Y
IDCJAC0011,94029,2024,1,22,9.9,1,N
IDCJAC0011,94029,2024,3,14,9.9,1,N
IDCJAC0011,94029,2024,8,25,9.9,1,Y
IDCJAC0011,94029,2024,9,30,9.9,1,N
IDCJAC0011,94029,2024,11,18,9.9,1,N
IDCJAC0011,94029,2024,2,27,10,1,N
IDCJAC0011,94029,2024,4,19,10,1,Y
IDCJAC0011,94029,2024,9,18,10,1,N
IDCJAC0011,94029,2024,11,6,10,1,N
IDCJAC0011,94029,2024,10,31,10.1,1,N
IDCJAC0011,94029,2024,12,14,10.1,1,Y
IDCJAC0011,94029,2024,2,10,10.2,1,N
IDCJAC0011,94029,2024,3,13,10.2,1,N
IDCJAC0011,94029,2024,3,23,10.2,1,N
IDCJAC0011,94029,2024,4,6,10.2,1,Y
IDCJAC0011,94029,2024,11,16,10.2,1,N
IDCJAC0011,94029,2024,12,23,10.2,1,Y
IDCJAC0011,94029,2024,2,14,10.3,1,N
IDCJAC0011,94029,2024,9,5,10.3,1,Y
IDCJAC0011,94029,2024,4,23,10.4,1,Y
IDCJAC0011,94029,2024,5,11,10.4,1,Y
IDCJAC0011,94029,2024,8,16,10.4,1,Y
IDCJAC0011,94029,2024,11,12,10.4,1,N
IDCJAC0011,94029,2024,5,15,10.5,1,Y
IDCJAC0011,94029,2024,7,23,10.5,1,Y
IDCJAC0011,94029,2024,11,3,10.5,1,N
IDCJAC0011,94029,2024,12,8,10.5,1,Y
IDCJAC0011,94029,2024,3,20,10.6,1,N
IDCJAC0011,94029,2024,3,29,10.6,1,N
IDCJAC0011,94029,2024,8,10,10.6,1,Y
IDCJAC0011,94029,2024,10,29,10.6,1,N
IDCJAC0011,94029,2024,11,7,10.6,1,N
IDCJAC0011,94029,2024,12,15,10.6,1,Y
IDCJAC0011,94029,2024,5,29,10.7,1,Y
IDCJAC0011,94029,2024,8,17,10.7,1,Y
IDCJAC0011,94029,2024,8,26,10.7,1,Y
IDCJAC0011,94029,2024,9,23,10.7,1,N
IDCJAC0011,94029,2024,5,23,10.8,1,Y
IDCJAC0011,94029,2024,11,28,10.8,1,N
IDCJAC0011,94029,2024,11,29,10.8,1,N
IDCJAC0011,94029,2024,2,6,10.9,1,N
IDCJAC0011,94029,2024,2,11,10.9,1,N
IDCJAC0011,94029,2024,4,16,10.9,1,Y
IDCJAC0011,94029,2024,4,18,10.9,1,Y
IDCJAC0011,94029,2024,7,16,10.9,1,Y
IDCJAC0011,94029,2024,9,10,10.9,1,N
IDCJAC0011,94029,2024,9,29,10.9,1,N
IDCJAC0011,94029,2024,12,25,10.9,1,Y
IDCJAC0011,94029,2024,10,7,11,1,N
IDCJAC0011,94029,2024,5,9,11.1,1,Y
IDCJAC0011,94029,2024,12,24,11.1,1,Y
IDCJAC0011,94029,2024,11,22,11.2,1,N
IDCJAC0011,94029,2024,10,21,11.3,1,N
IDCJAC0011,94029,2024,3,6,11.4,1,N
IDCJAC0011,94029,2024,5,28,11.4,1,Y
IDCJAC0011,94029,2024,11,4,11.4,1,N
IDCJAC0011,94029,2024,2,26,11.5,1,Y
IDCJAC0011,94029,2024,9,11,11.5,1,N
IDCJAC0011,94029,2024,10,17,11.5,1,N
IDCJAC0011,94029,2024,7,25,11.6,1,Y
IDCJAC0011,94029,2024,5,10,11.7,1,Y
IDCJAC0011,94029,2024,5,30,11.7,1,Y
IDCJAC0011,94029,2024,1,6,11.8,1,N
IDCJAC0011,94029,2024,1,14,11.8,1,N
IDCJAC0011,94029,2024,1,23,11.8,1,N
IDCJAC0011,94029,2024,2,16,11.8,1,N
IDCJAC0011,94029,2024,3,17,11.8,1,N
IDCJAC0011,94029,2024,9,6,11.8,1,N
IDCJAC0011,94029,2024,12,11,11.8,1,Y
IDCJAC0011,94029,2024,3,2,11.9,1,N
IDCJAC0011,94029,2024,3,7,11.9,1,N
IDCJAC0011,94029,2024,12,10,11.9,1,Y
IDCJAC0011,94029,2024,8,14,12,1,Y
IDCJAC0011,94029,2024,12,18,12,1,Y
IDCJAC0011,94029,2024,12,20,12,1,Y
IDCJAC0011,94029,2024,2,7,12.1,1,N
IDCJAC0011,94029,2024,2,15,12.1,1,N
IDCJAC0011,94029,2024,4,8,12.1,1,Y
IDCJAC0011,94029,2024,10,1,12.1,1,N
IDCJAC0011,94029,2024,10,5,12.1,1,N
IDCJAC0011,94029,2024,3,24,12.2,1,N
IDCJAC0011,94029,2024,2,18,12.4,1,N
IDCJAC0011,94029,2024,8,11,12.4,1,Y
IDCJAC0011,94029,2024,10,19,12.4,1,N
IDCJAC0011,94029,2024,11,25,12.4,1,N
IDCJAC0011,94029,2024,8,27,12.5,1,Y
IDCJAC0011,94029,2024,12,31,12.5,1,Y
IDCJAC0011,94029,2024,1,18,12.6,1,N
IDCJAC0011,94029,2024,2,25,12.6,1,N
IDCJAC0011,94029,2024,4,14,12.6,1,Y
IDCJAC0011,94029,2024,2,5,12.7,1,N
IDCJAC0011,94029,2024,3,3,12.7,1,Y
IDCJAC0011,94029,2024,12,9,12.7,1,Y
IDCJAC0011,94029,2024,12,29,12.7,1,Y
IDCJAC0011,94029,2024,12,30,12.7,1,Y
IDCJAC0011,94029,2024,1,5,12.8,1,N
IDCJAC0011,94029,2024,3,30,12.8,1,N
IDCJAC0011,94029,2024,3,31,12.8,1,N
IDCJAC0011,94029,2024,10,18,12.8,1,Y
IDCJAC0011,94029,2024,1,1,13,1,N
IDCJAC0011,94029,2024,1,15,13,1,N
IDCJAC0011,94029,2024,4,1,13,1,Y
