Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,86338,2024,9,28,22,1,N
IDCJAC0010,86338,2024,1,4,21.9,1,Y
IDCJAC0010,86338,2024,2,7,21.9,1,Y
IDCJAC0010,86338,2024,2,23,21.9,1,Y
IDCJAC0010,86338,2024,3,7,21.9,1,Y
IDCJAC0010,86338,2024,8,14,21.9,1,Y
IDCJAC0010,86338,2024,10,18,21.9,1,Y
IDCJAC0010,86338,2024,11,24,21.9,1,N
IDCJAC0010,86338,2024,12,10,21.9,1,Y
IDCJAC0010,86338,2024,2,18,21.8,1,Y
IDCJAC0010,86338,2024,3,26,21.8,1,Y
IDCJAC0010,86338,2024,8,24,21.8,1,Y
IDCJAC0010,86338,2024,12,18,21.8,1,Y
IDCJAC0010,86338,2024,1,13,21.7,1,Y
IDCJAC0010,86338,2024,12,9,21.7,1,Y
IDCJAC0010,86338,2024,12,13,21.7,1,Y
IDCJAC0010,86338,2024,1,18,21.6,1,Y
IDCJAC0010,86338,2024,1,31,21.6,1,Y
IDCJAC0010,86338,2024,11,7,21.6,1,N
IDCJAC0010,86338,2024,12,22,21.6,1,Y
IDCJAC0010,86338,2024,1,17,21.5,1,Y
IDCJAC0010,86338,2024,10,30,21.5,1,Y
IDCJAC0010,86338,2024,12,27,21.5,1,Y
IDCJAC0010,86338,2024,4,2,21.4,1,Y
IDCJAC0010,86338,2024,11,3,21.3,1,N
IDCJAC0010,86338,2024,2,9,21.2,1,Y
IDCJAC0010,86338,2024,2,6,21.1,1,Y
IDCJAC0010,86338,2024,9,5,21,1,N
IDCJAC0010,86338,2024,2,2,20.9,1,Y
IDCJAC0010,86338,2024,2,15,20.9,1,Y
IDCJAC0010,86338,2024,3,3,20.9,1,Y
IDCJAC0010,86338,2024,3,31,20.9,1,Y
IDCJAC0010,86338,2024,8,15,20.9,1,Y
IDCJAC0010,86338,2024,11,10,20.9,1,N
IDCJAC0010,86338,2024,1,19,20.8,1,Y
IDCJAC0010,86338,2024,3,22,20.8,1,Y
IDCJAC0010,86338,2024,9,18,20.8,1,N
IDCJAC0010,86338,2024,10,6,20.8,1,Y
IDCJAC0010,86338,2024,3,2,20.7,1,Y
IDCJAC0010,86338,2024,3,4,20.7,1,Y
IDCJAC0010,86338,2024,8,12,20.7,1,Y
IDCJAC0010,86338,2024,11,15,20.7,1,N
IDCJAC0010,86338,2024,4,5,20.6,1,Y
IDCJAC0010,86338,2024,4,8,20.6,1,Y
IDCJAC0010,86338,2024,1,21,20.5,1,Y
IDCJAC0010,86338,2024,3,21,20.5,1,Y
IDCJAC0010,86338,2024,3,27,20.5,1,Y
IDCJAC0010,86338,2024,8,13,20.5,1,Y
IDCJAC0010,86338,2024,12,8,20.5,1,Y
IDCJAC0010,86338,2024,2,26,20.4,1,Y
IDCJAC0010,86338,2024,3,28,20.4,1,Y
IDCJAC0010,86338,2024,4,15,20.4,1,Y
IDCJAC0010,86338,2024,5,30,20.4,1,Y
IDCJAC0010,86338,2024,9,1,20.4,1,N
IDCJAC0010,86338,2024,1,8,20.3,1,Y
IDCJAC0010,86338,2024,2,14,20.3,1,Y
IDCJAC0010,86338,2024,2,24,20.3,1,Y
IDCJAC0010,86338,2024,4,7,20.3,1,Y
IDCJAC0010,86338,2024,9,22,20.3,1,N
IDCJAC0010,86338,2024,12,21,20.3,1,Y
IDCJAC0010,86338,2024,1,22,20.2,1,Y
IDCJAC0010,86338,2024,5,27,20.2,1,Y
IDCJAC0010,86338,2024,8,27,20.2,1,Y
IDCJAC0010,86338,2024,8,30,20.2,1,Y
IDCJAC0010,86338,2024,9,10,20.2,1,N
IDCJAC0010,86338,2024,10,5,20.1,1,Y
IDCJAC0010,86338,2024,5,28,20,1,Y
IDCJAC0010,86338,2024,9,7,20,1,N
IDCJAC0010,86338,2024,10,10,20,1,Y
IDCJAC0010,86338,2024,2,5,19.9,1,Y
IDCJAC0010,86338,2024,3,13,19.9,1,Y
IDCJAC0010,86338,2024,11,8,19.9,1,N
IDCJAC0010,86338,2024,3,23,19.8,1,Y
IDCJAC0010,86338,2024,8,11,19.8,1,Y
IDCJAC0010,86338,2024,10,14,19.8,1,Y
IDCJAC0010,86338,2024,5,6,19.7,1,Y
IDCJAC0010,86338,2024,9,4,19.6,1,N
IDCJAC0010,86338,2024,9,11,19.6,1,N
IDCJAC0010,86338,2024,10,23,19.6,1,Y
IDCJAC0010,86338,2024,5,29,19.5,1,Y
IDCJAC0010,86338,2024,5,11,19.2,1,Y
IDCJAC0010,86338,2024,8,21,19.2,1,Y
IDCJAC0010,86338,2024,10,9,19.2,1,Y
IDCJAC0010,86338,2024,11,4,19.2,1,N
IDCJAC0010,86338,2024,4,14,19.1,1,Y
IDCJAC0010,86338,2024,4,13,19,1,Y
IDCJAC0010,86338,2024,4,16,19,1,Y
IDCJAC0010,86338,2024,11,9,19,1,N
IDCJAC0010,86338,2024,4,4,18.9,1,Y
IDCJAC0010,86338,2024,4,19,18.9,1,Y
IDCJAC0010,86338,2024,5,13,18.9,1,Y
IDCJAC0010,86338,2024,8,22,18.9,1,Y
IDCJAC0010,86338,2024,8,23,18.9,1,Y
IDCJAC0010,86338,2024,11,18,18.9,1,N
IDCJAC0010,86338,2024,5,1,18.8,1,Y
IDCJAC0010,86338,2024,5,12,18.7,1,Y
IDCJAC0010,86338,2024,10,31,18.7,1,Y
IDCJAC0010,86338,2024,11,25,18.7,1,N
IDCJAC0010,86338,2024,8,19,18.6,1,Y
IDCJAC0010,86338,2024,8,26,18.6,1,Y
IDCJAC0010,86338,2024,8,28,18.6,1,Y
IDCJAC0010,86338,2024,9,30,18.6,1,N
IDCJAC0010,86338,2024,10,29,18.6,1,Y
IDCJAC0010,86338,2024,8,31,18.5,1,Y
IDCJAC0010,86338,2024,12,23,18.5,1,Y
IDCJAC0010,86338,2024,3,20,18.4,1,Y
IDCJAC0010,86338,2024,5,31,18.4,1,Y
IDCJAC0010,86338,2024,5,5,18.3,1,Y
IDCJAC0010,86338,2024,5,8,18.3,1,Y
IDCJAC0010,86338,2024,9,20,18.3,1,N
IDCJAC0010,86338,2024,9,23,18.3,1,N
IDCJAC0010,86338,2024,11,13,18.3,1,N
IDCJAC0010,86338,2024,4,17,18.1,1,Y
IDCJAC0010,86338,2024,8,9,18.1,1,Y
IDCJAC0010,86338,2024,9,8,18.1,1,N
IDCJAC0010,86338,2024,4,27,18,1,Y
IDCJAC0010,86338,2024,10,7,18,1,Y
IDCJAC0010,86338,2024,8,7,17.9,1,Y
IDCJAC0010,86338,2024,8,20,17.9,1,Y
IDCJAC0010,86338,2024,4,10,17.8,1,Y
IDCJAC0010,86338,2024,5,15,17.8,1,Y
IDCJAC0010,86338,2024,11,20,17.8,1,N
IDCJAC0010,86338,2024,4,11,17.7,1,Y
IDCJAC0010,86338,2024,4,12,17.7,1,Y
IDCJAC0010,86338,2024,5,16,17.7,1,Y
IDCJAC0010,86338,2024,7,23,17.7,1,Y
IDCJAC0010,86338,2024,8,29,17.6,1,Y
