Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,70351,2024,1,6,25.7,1,Y
IDCJAC0010,70351,2024,1,19,25.7,1,Y
IDCJAC0010,70351,2024,10,29,25.6,1,N
IDCJAC0010,70351,2024,3,24,25.5,1,N
IDCJAC0010,70351,2024,12,19,25.5,1,Y
IDCJAC0010,70351,2024,11,12,25.4,1,N
IDCJAC0010,70351,2024,11,15,25.4,1,N
IDCJAC0010,70351,2024,11,9,25.3,1,N
IDCJAC0010,70351,2024,12,3,25.3,1,Y
IDCJAC0010,70351,2024,2,27,25.2,1,N
IDCJAC0010,70351,2024,11,13,25.1,1,N
IDCJAC0010,70351,2024,10,17,25,1,Y
IDCJAC0010,70351,2024,10,27,25,1,N
IDCJAC0010,70351,2024,9,24,24.9,1,Y
IDCJAC0010,70351,2024,10,11,24.9,1,N
IDCJAC0010,70351,2024,1,8,24.8,1,Y
IDCJAC0010,70351,2024,1,18,24.7,1,Y
IDCJAC0010,70351,2024,2,21,24.7,1,N
IDCJAC0010,70351,2024,3,4,24.7,1,N
IDCJAC0010,70351,2024,11,18,24.7,1,N
IDCJAC0010,70351,2024,9,6,24.4,1,Y
IDCJAC0010,70351,2024,10,19,24.4,1,N
IDCJAC0010,70351,2024,3,18,24.3,1,N
IDCJAC0010,70351,2024,1,4,24.1,1,Y
IDCJAC0010,70351,2024,10,21,24.1,1,N
IDCJAC0010,70351,2024,10,23,24.1,1,N
IDCJAC0010,70351,2024,2,24,24,1,N
IDCJAC0010,70351,2024,11,1,24,1,N
IDCJAC0010,70351,2024,1,5,23.9,1,Y
IDCJAC0010,70351,2024,3,22,23.9,1,N
IDCJAC0010,70351,2024,2,7,23.6,1,N
IDCJAC0010,70351,2024,3,20,23.6,1,N
IDCJAC0010,70351,2024,1,14,23.5,1,Y
IDCJAC0010,70351,2024,2,10,23.5,1,N
IDCJAC0010,70351,2024,4,3,23.3,1,Y
IDCJAC0010,70351,2024,2,8,23.2,1,N
IDCJAC0010,70351,2024,4,2,23.2,1,Y
IDCJAC0010,70351,2024,11,11,23.2,1,Y
IDCJAC0010,70351,2024,12,9,23.1,1,Y
IDCJAC0010,70351,2024,4,22,23,1,Y
IDCJAC0010,70351,2024,11,2,23,1,N
IDCJAC0010,70351,2024,3,16,22.9,1,N
IDCJAC0010,70351,2024,10,14,22.9,1,N
IDCJAC0010,70351,2024,3,23,22.8,1,N
IDCJAC0010,70351,2024,4,8,22.7,1,Y
IDCJAC0010,70351,2024,10,10,22.7,1,N
IDCJAC0010,70351,2024,11,8,22.7,1,N
IDCJAC0010,70351,2024,1,17,22.6,1,Y
IDCJAC0010,70351,2024,9,5,22.6,1,Y
IDCJAC0010,70351,2024,2,5,22.5,1,N
IDCJAC0010,70351,2024,9,23,22.5,1,Y
IDCJAC0010,70351,2024,10,7,22.5,1,N
IDCJAC0010,70351,2024,4,15,22.4,1,Y
IDCJAC0010,70351,2024,4,14,22.3,1,Y
IDCJAC0010,70351,2024,4,16,22.3,1,Y
IDCJAC0010,70351,2024,11,29,22.3,1,N
IDCJAC0010,70351,2024,1,16,22.2,1,Y
IDCJAC0010,70351,2024,12,23,22.2,1,Y
IDCJAC0010,70351,2024,10,16,22,1,N
IDCJAC0010,70351,2024,4,6,21.9,1,Y
IDCJAC0010,70351,2024,10,18,21.9,1,N
IDCJAC0010,70351,2024,4,7,21.7,1,Y
IDCJAC0010,70351,2024,4,23,21.7,1,Y
IDCJAC0010,70351,2024,9,25,21.7,1,Y
IDCJAC0010,70351,2024,10,1,21.6,1,N
IDCJAC0010,70351,2024,4,21,21.5,1,Y
IDCJAC0010,70351,2024,10,24,21.5,1,N
IDCJAC0010,70351,2024,8,24,21.4,1,Y
IDCJAC0010,70351,2024,4,4,21.3,1,Y
IDCJAC0010,70351,2024,2,15,21.2,1,N
IDCJAC0010,70351,2024,4,24,21.2,1,Y
IDCJAC0010,70351,2024,10,13,21.2,1,N
IDCJAC0010,70351,2024,4,12,21.1,1,Y
IDCJAC0010,70351,2024,3,15,21,1,N
IDCJAC0010,70351,2024,4,17,21,1,Y
IDCJAC0010,70351,2024,4,13,20.9,1,Y
IDCJAC0010,70351,2024,9,30,20.9,1,Y
IDCJAC0010,70351,2024,10,3,20.9,1,N
IDCJAC0010,70351,2024,3,21,20.8,1,N
IDCJAC0010,70351,2024,4,28,20.8,1,Y
IDCJAC0010,70351,2024,1,15,20.5,1,Y
IDCJAC0010,70351,2024,3,17,20.5,1,N
IDCJAC0010,70351,2024,4,11,20.5,1,Y
IDCJAC0010,70351,2024,9,29,20.5,1,Y
IDCJAC0010,70351,2024,4,18,20.3,1,Y
IDCJAC0010,70351,2024,8,15,20.3,1,Y
IDCJAC0010,70351,2024,4,29,20.2,1,Y
IDCJAC0010,70351,2024,9,7,20.2,1,Y
IDCJAC0010,70351,2024,9,4,20.1,1,Y
IDCJAC0010,70351,2024,10,4,20.1,1,N
IDCJAC0010,70351,2024,5,13,20,1,N
IDCJAC0010,70351,2024,10,5,20,1,N
IDCJAC0010,70351,2024,9,10,19.9,1,Y
IDCJAC0010,70351,2024,11,30,19.7,1,N
IDCJAC0010,70351,2024,8,30,19.6,1,Y
IDCJAC0010,70351,2024,10,12,19.6,1,N
IDCJAC0010,70351,2024,4,27,19.5,1,Y
IDCJAC0010,70351,2024,5,17,19.5,1,N
IDCJAC0010,70351,2024,4,20,19.4,1,Y
IDCJAC0010,70351,2024,9,11,19.4,1,Y
IDCJAC0010,70351,2024,10,26,19.3,1,N
IDCJAC0010,70351,2024,10,2,19.2,1,N
IDCJAC0010,70351,2024,5,14,19.1,1,Y
IDCJAC0010,70351,2024,5,29,19.1,1,N
IDCJAC0010,70351,2024,8,25,19.1,1,Y
IDCJAC0010,70351,2024,4,19,19,1,Y
IDCJAC0010,70351,2024,9,1,19,1,Y
IDCJAC0010,70351,2024,5,28,18.9,1,N
IDCJAC0010,70351,2024,9,28,18.9,1,Y
IDCJAC0010,70351,2024,10,25,18.9,1,N
IDCJAC0010,70351,2024,9,18,18.7,1,Y
IDCJAC0010,70351,2024,4,10,18.6,1,Y
IDCJAC0010,70351,2024,9,9,18.6,1,Y
IDCJAC0010,70351,2024,9,17,18.6,1,Y
IDCJAC0010,70351,2024,9,22,18.5,1,Y
IDCJAC0010,70351,2024,4,26,18.4,1,Y
IDCJAC0010,70351,2024,5,15,18.3,1,N
IDCJAC0010,70351,2024,9,14,18.3,1,Y
IDCJAC0010,70351,2024,4,25,18.2,1,Y
IDCJAC0010,70351,2024,9,19,18.2,1,Y
IDCJAC0010,70351,2024,5,16,18.1,1,N
IDCJAC0010,70351,2024,8,11,18,1,Y
IDCJAC0010,70351,2024,8,12,18,1,Y
IDCJAC0010,70351,2024,5,30,17.9,1,N
IDCJAC0010,70351,2024,8,28,17.9,1,Y
IDCJAC0010,70351,2024,8,16,17.8,1,Y
IDCJAC0010,70351,2024,8,20,17.8,1,Y
IDCJAC0010,70351,2024,10,9,17.7,1,N
IDCJAC0010,70351,2024,5,1,17.6,1,N
IDCJAC0010,70351,2024,6,8,17.6,1,N
IDCJAC0010,70351,2024,8,13,17.6,1,Y
IDCJAC0010,70351,2024,9,8,17.6,1,Y
IDCJAC0010,70351,2024,8,23,17.5,1,Y
IDCJAC0010,70351,2024,10,6,17.5,1,N
IDCJAC0010,70351,2024,5,2,17.3,1,N
IDCJAC0010,70351,2024,5,6,17.3,1,N
IDCJAC0010,70351,2024,8,22,17.3,1,Y
IDCJAC0010,70351,2024,5,3,17.2,1,N
IDCJAC0010,70351,2024,9,20,17.2,1,Y
IDCJAC0010,70351,2024,8,9,17.1,1,Y
IDCJAC0010,70351,2024,8,27,17.1,1,Y
IDCJAC0010,70351,2024,5,8,17,1,N
IDCJAC0010,70351,2024,5,12,17,1,N
IDCJAC0010,70351,2024,8,18,17,1,Y
IDCJAC0010,70351,2024,8,21,17,1,Y
IDCJAC0010,70351,2024,8,29,17,1,Y
IDCJAC0010,70351,2024,9,21,17,1,Y
IDCJAC0010,70351,2024,10,8,17,1,N
IDCJAC0010,70351,2024,5,23,16.8,1,N
IDCJAC0010,70351,2024,9,16,16.8,1,Y
IDCJAC0010,70351,2024,5,9,16.7,1,N
IDCJAC0010,70351,2024,9,13,16.7,1,Y
IDCJAC0010,70351,2024,4,5,16.6,1,Y
IDCJAC0010,70351,2024,4,30,16.6,1,Y
IDCJAC0010,70351,2024,5,7,16.6,1,N
IDCJAC0010,70351,2024,5,27,16.6,1,N
IDCJAC0010,70351,2024,7,25,16.6,1,Y
IDCJAC0010,70351,2024,8,31,16.6,1,Y
IDCJAC0010,70351,2024,5,10,16.5,1,N
IDCJAC0010,70351,2024,5,21,16.5,1,N
IDCJAC0010,70351,2024,5,25,16.5,1,N
IDCJAC0010,70351,2024,5,26,16.5,1,N
IDCJAC0010,70351,2024,5,31,16.5,1,N
IDCJAC0010,70351,2024,8,26,16.3,1,Y
IDCJAC0010,70351,2024,5,20,16.2,1,N
IDCJAC0010,70351,2024,8,19,16.2,1,Y
IDCJAC0010,70351,2024,9,27,16.1,1,Y
IDCJAC0010,70351,2024,5,24,16,1,N
IDCJAC0010,70351,2024,8,10,16,1,Y
IDCJAC0010,70351,2024,5,4,15.9,1,N
IDCJAC0010,70351,2024,9,3,15.9,1,Y
IDCJAC0010,70351,2024,6,7,15.8,1,Y
IDCJAC0010,70351,2024,6,29,15.7,1,N
IDCJAC0010,70351,2024,8,14,15.6,1,Y
IDCJAC0010,70351,2024,10,15,15.5,1,N
IDCJAC0010,70351,2024,5,22,15.4,1,N
IDCJAC0010,70351,2024,7,26,15.4,1,Y
IDCJAC0010,70351,2024,8,8,15.4,1,Y
IDCJAC0010,70351,2024,9,12,15.4,1,Y
IDCJAC0010,70351,2024,6,26,15.3,1,N
IDCJAC0010,70351,2024,6,27,15.1,1,N
IDCJAC0010,70351,2024,8,7,15.1,1,Y
IDCJAC0010,70351,2024,8,3,15,1,Y
IDCJAC0010,70351,2024,7,8,14.9,1,Y
IDCJAC0010,70351,2024,8,4,14.8,1,Y
IDCJAC0010,70351,2024,8,6,14.8,1,Y
IDCJAC0010,70351,2024,7,24,14.7,1,Y
IDCJAC0010,70351,2024,6,23,14.6,1,N
IDCJAC0010,70351,2024,7,23,14.5,1,Y
IDCJAC0010,70351,2024,8,17,14.5,1,Y
IDCJAC0010,70351,2024,4,9,14.4,1,Y
IDCJAC0010,70351,2024,6,6,14.3,1,N
IDCJAC0010,70351,2024,8,2,14.3,1,Y
IDCJAC0010,70351,2024,6,25,14.2,1,N
IDCJAC0010,70351,2024,7,27,14.2,1,Y
IDCJAC0010,70351,2024,5,19,14.1,1,N
IDCJAC0010,70351,2024,6,17,14,1,N
IDCJAC0010,70351,2024,9,2,14,1,Y
IDCJAC0010,70351,2024,6,28,13.9,1,Y
IDCJAC0010,70351,2024,7,10,13.9,1,Y
IDCJAC0010,70351,2024,8,1,13.9,1,Y
IDCJAC0010,70351,2024,5,5,13.8,1,N
IDCJAC0010,70351,2024,7,22,13.8,1,Y
IDCJAC0010,70351,2024,6,14,13.7,1,N
IDCJAC0010,70351,2024,5,11,13.6,1,N
IDCJAC0010,70351,2024,6,10,13.6,1,N
IDCJAC0010,70351,2024,7,6,13.6,1,Y
IDCJAC0010,70351,2024,6,2,13.5,1,N
IDCJAC0010,70351,2024,6,9,13.5,1,N
IDCJAC0010,70351,2024,6,12,13.5,1,N
IDCJAC0010,70351,2024,7,5,13.5,1,Y
IDCJAC0010,70351,2024,7,13,13.5,1,Y
IDCJAC0010,70351,2024,6,1,13.4,1,N
IDCJAC0010,70351,2024,7,9,13.4,1,Y
IDCJAC0010,70351,2024,9,15,12.9,1,Y
IDCJAC0010,70351,2024,6,21,12.8,1,N
IDCJAC0010,70351,2024,7,21,12.8,1,Y
IDCJAC0010,70351,2024,7,30,12.6,1,Y
IDCJAC0010,70351,2024,9,26,12.6,1,Y
IDCJAC0010,70351,2024,7,7,12.5,1,Y
IDCJAC0010,70351,2024,6,18,12.4,1,N
IDCJAC0010,70351,2024,7,3,12.4,1,Y
IDCJAC0010,70351,2024,6,22,12.3,1,N
IDCJAC0010,70351,2024,7,17,12.3,1,Y
IDCJAC0010,70351,2024,6,5,12.2,1,N
IDCJAC0010,70351,2024,7,1,12.2,1,Y
IDCJAC0010,70351,2024,6,16,12.1,1,N
IDCJAC0010,70351,2024,6,24,12.1,1,N
IDCJAC0010,70351,2024,7,14,12.1,1,Y
IDCJAC0010,70351,2024,7,2,12,1,Y
IDCJAC0010,70351,2024,5,18,11.9,1,N
IDCJAC0010,70351,2024,7,4,11.9,1,Y
IDCJAC0010,70351,2024,8,5,11.9,1,Y
IDCJAC0010,70351,2024,7,16,11.7,1,Y
IDCJAC0010,70351,2024,7,31,11.7,1,Y
IDCJAC0010,70351,2024,6,4,11.5,1,N
IDCJAC0010,70351,2024,6,3,11.3,1,N
IDCJAC0010,70351,2024,6,15,10.9,1,N
IDCJAC0010,70351,2024,6,11,10.8,1,N
IDCJAC0010,70351,2024,7,18,10.8,1,Y
IDCJAC0010,70351,2024,7,28,10.8,1,Y
IDCJAC0010,70351,2024,7,12,10.7,1,Y
IDCJAC0010,70351,2024,7,29,10.6,1,Y
IDCJAC0010,70351,2024,6,20,10.4,1,N
IDCJAC0010,70351,2024,7,19,10,1,Y
IDCJAC0010,70351,2024,6,13,9.6,1,N
IDCJAC0010,70351,2024,7,15,9.6,1,Y
IDCJAC0010,70351,2024,6,30,8.8,1,N
IDCJAC0010,70351,2024,7,20,8.8,1,Y
IDCJAC0010,70351,2024,7,11,8.5,1,Y
IDCJAC0010,70351,2024,6,19,8.4,1,N
