Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,70351,2024,4,19,3.2,1,Y
IDCJAC0011,70351,2024,4,13,3.3,1,Y
IDCJAC0011,70351,2024,5,13,3.4,1,N
IDCJAC0011,70351,2024,8,16,3.4,1,Y
IDCJAC0011,70351,2024,3,25,3.5,1,N
IDCJAC0011,70351,2024,7,26,3.5,1,Y
IDCJAC0011,70351,2024,4,22,3.6,1,Y
IDCJAC0011,70351,2024,5,3,3.6,1,N
IDCJAC0011,70351,2024,10,16,3.6,1,N
IDCJAC0011,70351,2024,12,24,3.6,1,Y
IDCJAC0011,70351,2024,9,29,3.7,1,Y
IDCJAC0011,70351,2024,10,28,3.7,1,N
IDCJAC0011,70351,2024,6,5,3.8,1,N
IDCJAC0011,70351,2024,10,20,3.9,1,N
IDCJAC0011,70351,2024,4,27,4,1,Y
IDCJAC0011,70351,2024,6,2,4,1,N
IDCJAC0011,70351,2024,4,10,4.1,1,Y
IDCJAC0011,70351,2024,10,22,4.1,1,N
IDCJAC0011,70351,2024,3,26,4.3,1,N
IDCJAC0011,70351,2024,4,3,4.3,1,Y
IDCJAC0011,70351,2024,7,16,4.3,1,Y
IDCJAC0011,70351,2024,10,11,4.4,1,N
IDCJAC0011,70351,2024,9,26,4.5,1,Y
IDCJAC0011,70351,2024,4,20,4.6,1,Y
IDCJAC0011,70351,2024,6,15,4.6,1,N
IDCJAC0011,70351,2024,8,19,4.6,1,Y
IDCJAC0011,70351,2024,9,20,4.6,1,Y
IDCJAC0011,70351,2024,10,17,4.6,1,N
IDCJAC0011,70351,2024,10,27,4.6,1,N
IDCJAC0011,70351,2024,8,15,4.7,1,Y
IDCJAC0011,70351,2024,11,2,4.7,1,N
IDCJAC0011,70351,2024,10,31,5,1,N
IDCJAC0011,70351,2024,5,18,5.2,1,N
IDCJAC0011,70351,2024,10,21,5.2,1,N
IDCJAC0011,70351,2024,5,8,5.3,1,N
IDCJAC0011,70351,2024,5,6,5.4,1,N
IDCJAC0011,70351,2024,7,20,5.4,1,Y
IDCJAC0011,70351,2024,8,24,5.4,1,Y
IDCJAC0011,70351,2024,6,30,5.5,1,N
IDCJAC0011,70351,2024,8,21,5.5,1,Y
IDCJAC0011,70351,2024,9,19,5.5,1,Y
IDCJAC0011,70351,2024,8,17,5.7,1,Y
IDCJAC0011,70351,2024,9,12,5.7,1,Y
IDCJAC0011,70351,2024,3,22,5.8,1,N
IDCJAC0011,70351,2024,4,24,5.9,1,Y
IDCJAC0011,70351,2024,9,30,5.9,1,Y
IDCJAC0011,70351,2024,5,7,6,1,N
IDCJAC0011,70351,2024,11,9,6,1,N
IDCJAC0011,70351,2024,3,5,6.1,1,N
IDCJAC0011,70351,2024,10,3,6.2,1,N
IDCJAC0011,70351,2024,4,12,6.3,1,Y
IDCJAC0011,70351,2024,6,9,6.5,1,N
IDCJAC0011,70351,2024,10,24,6.5,1,N
IDCJAC0011,70351,2024,12,19,6.5,1,Y
IDCJAC0011,70351,2024,7,8,6.6,1,Y
IDCJAC0011,70351,2024,5,15,6.7,1,Y
IDCJAC0011,70351,2024,12,29,6.7,1,Y
IDCJAC0011,70351,2024,7,10,6.9,1,Y
IDCJAC0011,70351,2024,9,22,6.9,1,Y
IDCJAC0011,70351,2024,8,13,7,1,Y
IDCJAC0011,70351,2024,3,23,7.1,1,N
IDCJAC0011,70351,2024,6,7,7.1,1,N
IDCJAC0011,70351,2024,6,12,7.1,1,N
IDCJAC0011,70351,2024,8,29,7.2,1,Y
IDCJAC0011,70351,2024,10,29,7.2,1,N
IDCJAC0011,70351,2024,12,10,7.2,1,Y
IDCJAC0011,70351,2024,8,26,7.3,1,Y
IDCJAC0011,70351,2024,10,14,7.3,1,N
IDCJAC0011,70351,2024,8,30,7.4,1,Y
IDCJAC0011,70351,2024,10,8,7.4,1,N
IDCJAC0011,70351,2024,9,23,7.5,1,Y
IDCJAC0011,70351,2024,4,14,7.6,1,Y
IDCJAC0011,70351,2024,2,25,7.7,1,N
IDCJAC0011,70351,2024,6,6,7.7,1,N
IDCJAC0011,70351,2024,7,9,7.7,1,Y
IDCJAC0011,70351,2024,3,16,7.8,1,N
IDCJAC0011,70351,2024,4,17,7.8,1,Y
IDCJAC0011,70351,2024,8,22,7.8,1,Y
IDCJAC0011,70351,2024,11,14,7.8,1,N
IDCJAC0011,70351,2024,5,9,7.9,1,N
IDCJAC0011,70351,2024,3,12,8,1,N
IDCJAC0011,70351,2024,3,31,8.1,1,N
IDCJAC0011,70351,2024,10,15,8.1,1,N
IDCJAC0011,70351,2024,10,23,8.1,1,N
IDCJAC0011,70351,2024,11,3,8.1,1,N
IDCJAC0011,70351,2024,5,4,8.2,1,N
IDCJAC0011,70351,2024,2,9,8.3,1,N
IDCJAC0011,70351,2024,5,11,8.4,1,N
IDCJAC0011,70351,2024,11,19,8.4,1,N
IDCJAC0011,70351,2024,3,27,8.5,1,N
IDCJAC0011,70351,2024,10,7,8.5,1,N
IDCJAC0011,70351,2024,12,20,8.5,1,Y
IDCJAC0011,70351,2024,4,18,8.6,1,Y
IDCJAC0011,70351,2024,9,9,8.6,1,Y
IDCJAC0011,70351,2024,4,30,8.7,1,Y
IDCJAC0011,70351,2024,11,10,8.7,1,N
IDCJAC0011,70351,2024,12,25,8.7,1,Y
IDCJAC0011,70351,2024,8,14,8.8,1,Y
IDCJAC0011,70351,2024,8,31,8.8,1,Y
IDCJAC0011,70351,2024,3,4,8.9,1,N
IDCJAC0011,70351,2024,5,10,8.9,1,N
IDCJAC0011,70351,2024,9,21,8.9,1,Y
IDCJAC0011,70351,2024,11,8,8.9,1,N
IDCJAC0011,70351,2024,9,6,9,1,Y
IDCJAC0011,70351,2024,11,6,9,1,N
IDCJAC0011,70351,2024,3,30,9.1,1,N
IDCJAC0011,70351,2024,10,2,9.1,1,N
IDCJAC0011,70351,2024,12,12,9.1,1,Y
IDCJAC0011,70351,2024,2,7,9.2,1,N
IDCJAC0011,70351,2024,5,31,9.3,1,N
IDCJAC0011,70351,2024,11,1,9.3,1,N
IDCJAC0011,70351,2024,10,6,9.4,1,N
IDCJAC0011,70351,2024,3,11,9.5,1,N
IDCJAC0011,70351,2024,4,8,9.5,1,Y
IDCJAC0011,70351,2024,9,1,9.5,1,Y
IDCJAC0011,70351,2024,5,12,9.8,1,N
IDCJAC0011,70351,2024,12,26,9.8,1,Y
IDCJAC0011,70351,2024,3,7,9.9,1,N
IDCJAC0011,70351,2024,8,25,9.9,1,Y
IDCJAC0011,70351,2024,10,12,9.9,1,N
IDCJAC0011,70351,2024,10,30,9.9,1,N
IDCJAC0011,70351,2024,3,6,10,1,Y
IDCJAC0011,70351,2024,3,10,10,1,N
IDCJAC0011,70351,2024,5,5,10,1,N
IDCJAC0011,70351,2024,4,1,10.1,1,Y
IDCJAC0011,70351,2024,12,13,10.1,1,Y
IDCJAC0011,70351,2024,8,28,10.2,1,Y
IDCJAC0011,70351,2024,12,2,10.2,1,Y
IDCJAC0011,70351,2024,4,4,10.3,1,Y
IDCJAC0011,70351,2024,11,18,10.3,1,N
IDCJAC0011,70351,2024,1,28,10.4,1,Y
IDCJAC0011,70351,2024,9,2,10.4,1,Y
IDCJAC0011,70351,2024,11,22,10.8,1,N
IDCJAC0011,70351,2024,12,21,10.8,1,Y
IDCJAC0011,70351,2024,3,24,10.9,1,N
IDCJAC0011,70351,2024,4,9,11,1,Y
IDCJAC0011,70351,2024,2,12,11.2,1,N
IDCJAC0011,70351,2024,12,22,11.2,1,Y
IDCJAC0011,70351,2024,1,21,11.3,1,Y
IDCJAC0011,70351,2024,1,27,11.3,1,Y
IDCJAC0011,70351,2024,2,2,11.4,1,N
IDCJAC0011,70351,2024,3,3,11.4,1,N
IDCJAC0011,70351,2024,3,29,11.4,1,N
IDCJAC0011,70351,2024,11,12,11.6,1,Y
IDCJAC0011,70351,2024,1,22,11.7,1,Y
IDCJAC0011,70351,2024,10,19,11.7,1,N
