Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,14015,2024,8,19,23.1,1,N
IDCJAC0011,14015,2024,9,3,23.1,1,N
IDCJAC0011,14015,2024,12,19,23.1,1,N
IDCJAC0011,14015,2024,5,18,23.2,1,Y
IDCJAC0011,14015,2024,8,22,23.2,1,N
IDCJAC0011,14015,2024,2,17,23.3,1,N
IDCJAC0011,14015,2024,2,27,23.3,1,N
IDCJAC0011,14015,2024,5,8,23.3,1,Y
IDCJAC0011,14015,2024,5,9,23.3,1,Y
IDCJAC0011,14015,2024,4,10,23.4,1,N
IDCJAC0011,14015,2024,5,26,23.4,1,Y
IDCJAC0011,14015,2024,8,24,23.4,1,N
IDCJAC0011,14015,2024,8,31,23.4,1,N
IDCJAC0011,14015,2024,9,1,23.4,1,N
IDCJAC0011,14015,2024,9,9,23.4,1,N
IDCJAC0011,14015,2024,11,19,23.4,1,N
IDCJAC0011,14015,2024,6,29,23.5,1,N
IDCJAC0011,14015,2024,11,18,23.5,1,N
IDCJAC0011,14015,2024,7,29,23.6,1,N
IDCJAC0011,14015,2024,4,29,23.7,1,N
IDCJAC0011,14015,2024,5,24,23.7,1,Y
IDCJAC0011,14015,2024,6,30,23.7,1,N
IDCJAC0011,14015,2024,7,26,23.7,1,N
IDCJAC0011,14015,2024,12,3,23.7,1,N
IDCJAC0011,14015,2024,9,15,23.8,1,N
IDCJAC0011,14015,2024,11,2,23.8,1,N
IDCJAC0011,14015,2024,12,18,23.8,1,N
IDCJAC0011,14015,2024,12,25,23.8,1,N
IDCJAC0011,14015,2024,2,25,23.9,1,N
IDCJAC0011,14015,2024,3,21,23.9,1,N
IDCJAC0011,14015,2024,5,6,23.9,1,Y
IDCJAC0011,14015,2024,5,17,23.9,1,Y
IDCJAC0011,14015,2024,5,27,23.9,1,Y
IDCJAC0011,14015,2024,6,28,23.9,1,N
IDCJAC0011,14015,2024,9,11,23.9,1,N
IDCJAC0011,14015,2024,12,31,23.9,1,N
IDCJAC0011,14015,2024,5,3,24,1,Y
IDCJAC0011,14015,2024,10,5,24,1,N
IDCJAC0011,14015,2024,4,30,24.1,1,N
IDCJAC0011,14015,2024,9,2,24.1,1,N
IDCJAC0011,14015,2024,9,8,24.1,1,N
IDCJAC0011,14015,2024,11,1,24.1,1,N
IDCJAC0011,14015,2024,1,28,24.2,1,N
IDCJAC0011,14015,2024,2,14,24.2,1,N
IDCJAC0011,14015,2024,3,11,24.2,1,N
IDCJAC0011,14015,2024,4,20,24.2,1,N
IDCJAC0011,14015,2024,5,11,24.2,1,Y
IDCJAC0011,14015,2024,6,1,24.2,1,N
IDCJAC0011,14015,2024,7,28,24.2,1,N
IDCJAC0011,14015,2024,9,16,24.2,1,N
IDCJAC0011,14015,2024,11,29,24.2,1,N
IDCJAC0011,14015,2024,1,12,24.3,1,N
IDCJAC0011,14015,2024,2,15,24.3,1,N
IDCJAC0011,14015,2024,3,12,24.3,1,N
IDCJAC0011,14015,2024,5,16,24.3,1,Y
IDCJAC0011,14015,2024,8,23,24.3,1,N
IDCJAC0011,14015,2024,1,24,24.4,1,N
IDCJAC0011,14015,2024,4,8,24.4,1,N
IDCJAC0011,14015,2024,5,28,24.4,1,Y
IDCJAC0011,14015,2024,9,6,24.4,1,N
IDCJAC0011,14015,2024,9,7,24.4,1,N
IDCJAC0011,14015,2024,9,23,24.4,1,N
IDCJAC0011,14015,2024,12,17,24.4,1,N
IDCJAC0011,14015,2024,12,24,24.4,1,N
IDCJAC0011,14015,2024,1,25,24.5,1,N
IDCJAC0011,14015,2024,1,27,24.5,1,N
IDCJAC0011,14015,2024,3,23,24.5,1,N
