Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,23090,1986,11,10.2,Y
IDCJAC0001,23090,1986,12,32.8,Y
IDCJAC0001,23090,1987,1,28.8,Y
IDCJAC0001,23090,1987,2,25.2,Y
IDCJAC0001,23090,1987,3,23.2,Y
IDCJAC0001,23090,1987,4,27.4,Y
IDCJAC0001,23090,1987,5,128,Y
IDCJAC0001,23090,1987,6,100.2,Y
IDCJAC0001,23090,1987,7,116.2,Y
IDCJAC0001,23090,1987,8,30.2,Y
IDCJAC0001,23090,1987,9,16,Y
IDCJAC0001,23090,1987,10,39,Y
IDCJAC0001,23090,1987,11,6.4,Y
IDCJAC0001,23090,1987,12,35.6,Y
IDCJAC0001,23090,1988,1,27.2,Y
IDCJAC0001,23090,1988,2,18.8,Y
IDCJAC0001,23090,1988,3,22.8,Y
IDCJAC0001,23090,1988,4,12.2,Y
IDCJAC0001,23090,1988,5,117.8,Y
IDCJAC0001,23090,1988,6,97.4,Y
IDCJAC0001,23090,1988,7,62,Y
IDCJAC0001,23090,1988,8,35.2,Y
IDCJAC0001,23090,1988,9,53,Y
IDCJAC0001,23090,1988,10,19,Y
IDCJAC0001,23090,1988,11,37.8,Y
IDCJAC0001,23090,1988,12,42,Y
IDCJAC0001,23090,1989,1,0.8,Y
IDCJAC0001,23090,1989,2,5.4,Y
IDCJAC0001,23090,1989,3,1.2,Y
IDCJAC0001,23090,1989,4,33.6,Y
IDCJAC0001,23090,1989,5,90.6,Y
IDCJAC0001,23090,1989,6,100.8,Y
IDCJAC0001,23090,1989,7,68.8,Y
IDCJAC0001,23090,1989,8,68.6,Y
IDCJAC0001,23090,1989,9,50.4,Y
IDCJAC0001,23090,1989,10,36.4,Y
IDCJAC0001,23090,1989,11,28.6,Y
IDCJAC0001,23090,1989,12,16.6,Y
IDCJAC0001,23090,1990,1,27,Y
IDCJAC0001,23090,1990,2,6,Y
IDCJAC0001,23090,1990,3,1,Y
IDCJAC0001,23090,1990,4,12.2,Y
IDCJAC0001,23090,1990,5,15.4,Y
IDCJAC0001,23090,1990,6,89.4,Y
IDCJAC0001,23090,1990,7,104.6,Y
IDCJAC0001,23090,1990,8,92,Y
IDCJAC0001,23090,1990,9,43.8,Y
IDCJAC0001,23090,1990,10,32.8,Y
IDCJAC0001,23090,1990,11,12,Y
IDCJAC0001,23090,1990,12,45.6,Y
IDCJAC0001,23090,1991,1,17.6,Y
IDCJAC0001,23090,1991,2,0,Y
IDCJAC0001,23090,1991,3,4.4,Y
IDCJAC0001,23090,1991,4,32.2,Y
IDCJAC0001,23090,1991,5,14,Y
IDCJAC0001,23090,1991,6,138.2,Y
IDCJAC0001,23090,1991,7,95.8,Y
IDCJAC0001,23090,1991,8,81.6,Y
IDCJAC0001,23090,1991,9,77.6,Y
IDCJAC0001,23090,1991,10,6.2,Y
IDCJAC0001,23090,1991,11,34.2,Y
IDCJAC0001,23090,1991,12,5.8,Y
IDCJAC0001,23090,1992,1,0.4,Y
IDCJAC0001,23090,1992,2,10.8,Y
IDCJAC0001,23090,1992,3,74.8,Y
IDCJAC0001,23090,1992,4,43.8,Y
IDCJAC0001,23090,1992,5,77.8,Y
IDCJAC0001,23090,1992,6,76.8,Y
IDCJAC0001,23090,1992,7,65.6,Y
IDCJAC0001,23090,1992,8,129,Y
IDCJAC0001,23090,1992,9,151.4,Y
IDCJAC0001,23090,1992,10,75.8,Y
IDCJAC0001,23090,1992,11,107,Y
IDCJAC0001,23090,1992,12,70,Y
IDCJAC0001,23090,1993,1,33.8,Y
IDCJAC0001,23090,1993,2,26.6,Y
IDCJAC0001,23090,1993,3,17.4,Y
IDCJAC0001,23090,1993,4,1.4,Y
IDCJAC0001,23090,1993,5,41.8,Y
IDCJAC0001,23090,1993,6,51.4,Y
IDCJAC0001,23090,1993,7,65.6,Y
IDCJAC0001,23090,1993,8,50.6,Y
IDCJAC0001,23090,1993,9,66,Y
IDCJAC0001,23090,1993,10,73.6,Y
IDCJAC0001,23090,1993,11,25.4,Y
IDCJAC0001,23090,1993,12,72.8,Y
IDCJAC0001,23090,1994,1,39,Y
IDCJAC0001,23090,1994,2,12.8,Y
IDCJAC0001,23090,1994,3,0,Y
IDCJAC0001,23090,1994,4,11.6,Y
IDCJAC0001,23090,1994,5,30.6,Y
IDCJAC0001,23090,1994,6,87.6,Y
IDCJAC0001,23090,1994,7,40.4,N
IDCJAC0001,23090,1994,8,21,Y
IDCJAC0001,23090,1994,9,31,Y
IDCJAC0001,23090,1994,10,50.6,Y
IDCJAC0001,23090,1994,11,38,Y
IDCJAC0001,23090,1994,12,8.8,Y
IDCJAC0001,23090,1995,1,25,Y
IDCJAC0001,23090,1995,2,25.6,Y
IDCJAC0001,23090,1995,3,11.8,Y
IDCJAC0001,23090,1995,4,58.8,Y
IDCJAC0001,23090,1995,5,56.6,Y
IDCJAC0001,23090,1995,6,69.6,Y
IDCJAC0001,23090,1995,7,129.6,Y
IDCJAC0001,23090,1995,8,30.2,Y
IDCJAC0001,23090,1995,9,47.2,Y
IDCJAC0001,23090,1995,10,20.4,Y
IDCJAC0001,23090,1995,11,10.4,Y
IDCJAC0001,23090,1995,12,9,Y
IDCJAC0001,23090,1996,1,42.2,Y
IDCJAC0001,23090,1996,2,16,Y
IDCJAC0001,23090,1996,3,22.4,Y
IDCJAC0001,23090,1996,4,35.6,Y
IDCJAC0001,23090,1996,5,15.2,Y
IDCJAC0001,23090,1996,6,119.8,Y
IDCJAC0001,23090,1996,7,115,Y
IDCJAC0001,23090,1996,8,105,Y
IDCJAC0001,23090,1996,9,83.8,N
IDCJAC0001,23090,1996,10,28,Y
IDCJAC0001,23090,1996,11,1,Y
IDCJAC0001,23090,1996,12,15.4,Y
IDCJAC0001,23090,1997,1,36,Y
IDCJAC0001,23090,1997,2,29,Y
IDCJAC0001,23090,1997,3,8.6,Y
IDCJAC0001,23090,1997,4,9.2,Y
IDCJAC0001,23090,1997,5,65.6,Y
IDCJAC0001,23090,1997,6,33,Y
IDCJAC0001,23090,1997,7,22.2,Y
IDCJAC0001,23090,1997,8,90.4,Y
IDCJAC0001,23090,1997,9,74.2,Y
IDCJAC0001,23090,1997,10,60.8,Y
IDCJAC0001,23090,1997,11,44.8,Y
IDCJAC0001,23090,1997,12,24.8,Y
IDCJAC0001,23090,1998,1,6,Y
IDCJAC0001,23090,1998,2,27.8,Y
IDCJAC0001,23090,1998,3,9.4,Y
IDCJAC0001,23090,1998,4,105.6,Y
IDCJAC0001,23090,1998,5,29.4,Y
IDCJAC0001,23090,1998,6,83.2,Y
IDCJAC0001,23090,1998,7,65.4,Y
IDCJAC0001,23090,1998,8,55.4,Y
IDCJAC0001,23090,1998,9,54.8,Y
IDCJAC0001,23090,1998,10,66.6,Y
IDCJAC0001,23090,1998,11,30.6,Y
IDCJAC0001,23090,1998,12,11.8,Y
IDCJAC0001,23090,1999,1,11.4,Y
IDCJAC0001,23090,1999,2,1.8,Y
IDCJAC0001,23090,1999,3,59,Y
IDCJAC0001,23090,1999,4,11.2,Y
IDCJAC0001,23090,1999,5,127.4,Y
IDCJAC0001,23090,1999,6,82.2,Y
IDCJAC0001,23090,1999,7,68.8,Y
IDCJAC0001,23090,1999,8,38.2,Y
IDCJAC0001,23090,1999,9,74.2,Y
IDCJAC0001,23090,1999,10,80.6,Y
IDCJAC0001,23090,1999,11,39.2,Y
IDCJAC0001,23090,1999,12,34.8,Y
IDCJAC0001,23090,2000,1,3.6,Y
IDCJAC0001,23090,2000,2,44.4,Y
IDCJAC0001,23090,2000,3,35.6,Y
IDCJAC0001,23090,2000,4,88,Y
IDCJAC0001,23090,2000,5,89.2,Y
IDCJAC0001,23090,2000,6,80.8,Y
IDCJAC0001,23090,2000,7,68.8,Y
IDCJAC0001,23090,2000,8,60.2,Y
IDCJAC0001,23090,2000,9,67.8,Y
IDCJAC0001,23090,2000,10,82.4,Y
IDCJAC0001,23090,2000,11,9.6,Y
IDCJAC0001,23090,2000,12,13.4,Y
IDCJAC0001,23090,2001,1,19.6,Y
IDCJAC0001,23090,2001,2,10.4,Y
IDCJAC0001,23090,2001,3,49,Y
IDCJAC0001,23090,2001,4,20,Y
IDCJAC0001,23090,2001,5,87.4,Y
IDCJAC0001,23090,2001,6,105,Y
IDCJAC0001,23090,2001,7,61.4,Y
IDCJAC0001,23090,2001,8,87.8,Y
IDCJAC0001,23090,2001,9,137.2,Y
IDCJAC0001,23090,2001,10,80.6,Y
IDCJAC0001,23090,2001,11,43.4,Y
IDCJAC0001,23090,2001,12,14.2,Y
IDCJAC0001,23090,2002,1,20.6,Y
IDCJAC0001,23090,2002,2,0,Y
IDCJAC0001,23090,2002,3,12.2,Y
IDCJAC0001,23090,2002,4,10.8,Y
IDCJAC0001,23090,2002,5,62.8,Y
IDCJAC0001,23090,2002,6,60,Y
IDCJAC0001,23090,2002,7,83.6,Y
IDCJAC0001,23090,2002,8,26.6,Y
IDCJAC0001,23090,2002,9,39.4,Y
IDCJAC0001,23090,2002,10,22.4,Y
IDCJAC0001,23090,2002,11,31,Y
IDCJAC0001,23090,2002,12,9,Y
IDCJAC0001,23090,2003,1,23.2,Y
IDCJAC0001,23090,2003,2,63,Y
IDCJAC0001,23090,2003,3,10.2,Y
IDCJAC0001,23090,2003,4,28,Y
IDCJAC0001,23090,2003,5,69.6,Y
IDCJAC0001,23090,2003,6,124.2,Y
IDCJAC0001,23090,2003,7,39.2,Y
IDCJAC0001,23090,2003,8,93.8,Y
IDCJAC0001,23090,2003,9,47,Y
IDCJAC0001,23090,2003,10,64.8,Y
IDCJAC0001,23090,2003,11,12,Y
IDCJAC0001,23090,2003,12,34.2,Y
IDCJAC0001,23090,2004,1,9.8,Y
IDCJAC0001,23090,2004,2,5.2,Y
IDCJAC0001,23090,2004,3,24.2,Y
IDCJAC0001,23090,2004,4,18.8,Y
IDCJAC0001,23090,2004,5,62.8,Y
IDCJAC0001,23090,2004,6,125,Y
IDCJAC0001,23090,2004,7,75,Y
IDCJAC0001,23090,2004,8,94,Y
IDCJAC0001,23090,2004,9,58,Y
IDCJAC0001,23090,2004,10,10.6,Y
IDCJAC0001,23090,2004,11,64.8,Y
IDCJAC0001,23090,2004,12,32,Y
IDCJAC0001,23090,2005,1,37,Y
IDCJAC0001,23090,2005,2,10.4,Y
IDCJAC0001,23090,2005,3,11.6,Y
IDCJAC0001,23090,2005,4,3.2,Y
IDCJAC0001,23090,2005,5,8.2,Y
IDCJAC0001,23090,2005,6,142,Y
IDCJAC0001,23090,2005,7,42.8,Y
IDCJAC0001,23090,2005,8,90.8,Y
IDCJAC0001,23090,2005,9,59.2,Y
IDCJAC0001,23090,2005,10,88.4,Y
IDCJAC0001,23090,2005,11,79.6,Y
IDCJAC0001,23090,2005,12,56.4,Y
IDCJAC0001,23090,2006,1,22.4,Y
IDCJAC0001,23090,2006,2,15.6,Y
IDCJAC0001,23090,2006,3,20.2,Y
IDCJAC0001,23090,2006,4,52.4,Y
IDCJAC0001,23090,2006,5,48.8,Y
IDCJAC0001,23090,2006,6,12.4,Y
IDCJAC0001,23090,2006,7,36,Y
IDCJAC0001,23090,2006,8,11.4,Y
IDCJAC0001,23090,2006,9,32.6,Y
IDCJAC0001,23090,2006,10,1,Y
IDCJAC0001,23090,2006,11,18,Y
IDCJAC0001,23090,2006,12,16.8,Y
IDCJAC0001,23090,2007,1,40.2,Y
IDCJAC0001,23090,2007,2,0,Y
IDCJAC0001,23090,2007,3,24.6,Y
IDCJAC0001,23090,2007,4,82.4,Y
IDCJAC0001,23090,2007,5,45,Y
IDCJAC0001,23090,2007,6,64.8,Y
IDCJAC0001,23090,2007,7,65.8,Y
IDCJAC0001,23090,2007,8,25.8,Y
IDCJAC0001,23090,2007,9,24,Y
IDCJAC0001,23090,2007,10,25.2,Y
IDCJAC0001,23090,2007,11,29.6,Y
IDCJAC0001,23090,2007,12,37.6,Y
IDCJAC0001,23090,2008,1,9,Y
IDCJAC0001,23090,2008,2,3,Y
IDCJAC0001,23090,2008,3,16.4,Y
IDCJAC0001,23090,2008,4,45,Y
IDCJAC0001,23090,2008,5,63.4,Y
IDCJAC0001,23090,2008,6,30.4,Y
IDCJAC0001,23090,2008,7,72.2,Y
IDCJAC0001,23090,2008,8,84.8,Y
IDCJAC0001,23090,2008,9,16,Y
IDCJAC0001,23090,2008,10,8,Y
IDCJAC0001,23090,2008,11,13.8,Y
IDCJAC0001,23090,2008,12,40.4,Y
IDCJAC0001,23090,2009,1,1.2,Y
IDCJAC0001,23090,2009,2,0.8,Y
IDCJAC0001,23090,2009,3,21.4,Y
IDCJAC0001,23090,2009,4,73.6,Y
IDCJAC0001,23090,2009,5,63,Y
IDCJAC0001,23090,2009,6,52,Y
IDCJAC0001,23090,2009,7,109,Y
IDCJAC0001,23090,2009,8,55.8,Y
IDCJAC0001,23090,2009,9,61.6,Y
IDCJAC0001,23090,2009,10,18.4,Y
IDCJAC0001,23090,2009,11,42.2,Y
IDCJAC0001,23090,2009,12,18.2,Y
IDCJAC0001,23090,2010,1,9.2,Y
IDCJAC0001,23090,2010,2,5.6,Y
IDCJAC0001,23090,2010,3,19,Y
IDCJAC0001,23090,2010,4,49.6,Y
IDCJAC0001,23090,2010,5,56.8,Y
IDCJAC0001,23090,2010,6,65.8,Y
IDCJAC0001,23090,2010,7,59.8,Y
IDCJAC0001,23090,2010,8,115.2,Y
IDCJAC0001,23090,2010,9,72.2,Y
IDCJAC0001,23090,2010,10,29.2,Y
IDCJAC0001,23090,2010,11,23.2,Y
IDCJAC0001,23090,2010,12,87,Y
IDCJAC0001,23090,2011,1,17.4,Y
IDCJAC0001,23090,2011,2,43.2,Y
IDCJAC0001,23090,2011,3,78,Y
IDCJAC0001,23090,2011,4,13.6,Y
IDCJAC0001,23090,2011,5,61.8,Y
IDCJAC0001,23090,2011,6,37.2,Y
IDCJAC0001,23090,2011,7,61.4,Y
IDCJAC0001,23090,2011,8,92.4,Y
IDCJAC0001,23090,2011,9,46.8,Y
IDCJAC0001,23090,2011,10,42.6,Y
IDCJAC0001,23090,2011,11,25.2,Y
IDCJAC0001,23090,2011,12,18.2,Y
IDCJAC0001,23090,2012,1,18,Y
IDCJAC0001,23090,2012,2,25,Y
IDCJAC0001,23090,2012,3,63.2,Y
IDCJAC0001,23090,2012,4,27,Y
IDCJAC0001,23090,2012,5,62.4,Y
IDCJAC0001,23090,2012,6,126.4,Y
IDCJAC0001,23090,2012,7,66.2,Y
IDCJAC0001,23090,2012,8,68,Y
IDCJAC0001,23090,2012,9,21.8,Y
IDCJAC0001,23090,2012,10,20,Y
IDCJAC0001,23090,2012,11,17.6,Y
IDCJAC0001,23090,2012,12,11.6,Y
IDCJAC0001,23090,2013,1,11.6,Y
IDCJAC0001,23090,2013,2,11.8,Y
IDCJAC0001,23090,2013,3,19.6,Y
IDCJAC0001,23090,2013,4,33.2,Y
IDCJAC0001,23090,2013,5,54.8,Y
IDCJAC0001,23090,2013,6,76.4,Y
IDCJAC0001,23090,2013,7,119.2,Y
IDCJAC0001,23090,2013,8,84.4,Y
IDCJAC0001,23090,2013,9,42.6,Y
IDCJAC0001,23090,2013,10,32.4,Y
IDCJAC0001,23090,2013,11,5.2,Y
IDCJAC0001,23090,2013,12,16.2,Y
IDCJAC0001,23090,2014,1,10.2,Y
IDCJAC0001,23090,2014,2,98.2,Y
IDCJAC0001,23090,2014,3,19,Y
IDCJAC0001,23090,2014,4,50.6,Y
IDCJAC0001,23090,2014,5,64.4,Y
IDCJAC0001,23090,2014,6,104.2,Y
IDCJAC0001,23090,2014,7,99.6,Y
IDCJAC0001,23090,2014,8,20.8,Y
IDCJAC0001,23090,2014,9,31.4,Y
IDCJAC0001,23090,2014,10,5,Y
IDCJAC0001,23090,2014,11,24.4,Y
IDCJAC0001,23090,2014,12,6.4,Y
IDCJAC0001,23090,2015,1,41.6,Y
IDCJAC0001,23090,2015,2,0.6,Y
IDCJAC0001,23090,2015,3,2.8,Y
IDCJAC0001,23090,2015,4,57.6,N
IDCJAC0001,23090,2015,5,71.8,Y
IDCJAC0001,23090,2015,7,73.6,N
IDCJAC0001,23090,2015,8,48.4,N
IDCJAC0001,23090,2015,9,52.2,N
IDCJAC0001,23090,2015,10,9,N
IDCJAC0001,23090,2015,11,9.8,N
IDCJAC0001,23090,2015,12,13,N
IDCJAC0001,23090,2016,1,52.8,N
IDCJAC0001,23090,2016,2,18.4,N
IDCJAC0001,23090,2016,3,53.8,N
IDCJAC0001,23090,2016,4,9.6,N
IDCJAC0001,23090,2016,5,88,N
IDCJAC0001,23090,2016,6,95.2,N
IDCJAC0001,23090,2016,7,112,N
IDCJAC0001,23090,2016,8,58.8,N
IDCJAC0001,23090,2016,9,131.2,N
IDCJAC0001,23090,2016,10,81,N
IDCJAC0001,23090,2016,11,33.2,N
IDCJAC0001,23090,2016,12,86.8,N
IDCJAC0001,23090,2017,1,47.2,N
IDCJAC0001,23090,2017,2,33.4,N
IDCJAC0001,23090,2017,3,39.4,N
IDCJAC0001,23090,2017,4,33.2,N
IDCJAC0001,23090,2017,5,51.2,N
IDCJAC0001,23090,2017,6,8.6,N
IDCJAC0001,23090,2017,7,91.2,N
IDCJAC0001,23090,2017,8,87.8,N
IDCJAC0001,23090,2017,9,56,N
IDCJAC0001,23090,2017,10,36.8,N
IDCJAC0001,23090,2017,11,23.2,N
IDCJAC0001,23090,2017,12,28.2,N
IDCJAC0001,23090,2018,1,7.2,N
IDCJAC0001,23090,2018,2,5.8,N
IDCJAC0001,23090,2018,3,5.8,N
IDCJAC0001,23090,2018,4,22.2,N
IDCJAC0001,23090,2018,5,67.8,N
IDCJAC0001,23090,2018,6,54.8,N
IDCJAC0001,23090,2018,7,67.8,N
IDCJAC0001,23090,2018,8,82.6,N
IDCJAC0001,23090,2018,9,23.2,N
IDCJAC0001,23090,2018,10,21.8,N
IDCJAC0001,23090,2018,11,48.6,N
IDCJAC0001,23090,2018,12,19.8,N
IDCJAC0001,23090,2019,1,0,N
IDCJAC0001,23090,2019,2,9,N
IDCJAC0001,23090,2019,3,8.2,N
IDCJAC0001,23090,2019,4,5.4,N
IDCJAC0001,23090,2019,5,87.4,N
IDCJAC0001,23090,2019,6,82.6,N
IDCJAC0001,23090,2019,7,39.2,N
IDCJAC0001,23090,2019,8,50.6,N
IDCJAC0001,23090,2019,9,48.2,N
IDCJAC0001,23090,2019,10,18.6,N
IDCJAC0001,23090,2019,11,15.4,N
IDCJAC0001,23090,2019,12,9.4,N
IDCJAC0001,23090,2020,1,22.2,N
IDCJAC0001,23090,2020,2,44.4,N
IDCJAC0001,23090,2020,3,4.6,N
IDCJAC0001,23090,2020,4,94.2,N
IDCJAC0001,23090,2020,5,53.4,N
IDCJAC0001,23090,2020,7,21.4,N
